noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.048,50.000,2,0
0.00,10,2,0.033,50.000,2,0
0.00,10,3,0.014,50.000,1,0
0.00,10,4,0.013,50.000,0,0
0.00,10,5,0.015,50.000,1,0
0.00,15,1,0.086,50.000,3,1
0.00,15,2,0.078,3.501,1,0
0.00,15,3,0.086,50.000,4,0
0.00,15,4,0.071,50.000,4,0
0.00,15,5,0.065,50.000,2,0
0.00,20,1,0.096,4.472,1,0
0.00,20,2,0.090,50.000,3,0
0.00,20,3,0.097,50.000,2,0
0.00,20,4,0.078,50.000,3,0
0.00,20,5,0.077,50.000,4,0
0.00,25,1,0.104,50.000,4,0
0.00,25,2,0.106,50.000,5,0
0.00,25,3,0.110,50.000,5,0
0.00,25,4,0.108,4.296,3,0
0.00,25,5,0.108,50.000,4,0
0.00,30,1,0.127,50.000,5,0
0.00,30,2,0.123,7.271,5,0
0.00,30,3,0.080,50.000,3,0
0.00,30,4,0.109,50.000,4,0
0.00,30,5,0.118,4.403,5,0
0.00,35,1,0.124,3.674,5,0
0.00,35,2,0.120,50.000,5,0
0.00,35,3,0.113,50.000,5,0
0.00,35,4,0.113,50.000,5,0
0.00,35,5,0.124,50.000,5,1
0.00,40,1,0.120,9.212,5,0
0.00,40,2,0.129,3.711,5,0
0.00,40,3,0.097,50.000,5,0
0.00,40,4,0.102,50.000,4,0
0.00,40,5,0.093,50.000,5,0
0.00,45,1,0.110,13.723,4,0
0.00,45,2,0.119,2.938,5,0
0.00,45,3,0.119,50.000,4,0
0.00,45,4,0.123,50.000,5,0
0.00,45,5,0.116,4.066,5,0
0.00,50,1,0.117,4.154,5,1
0.00,50,2,0.114,9.318,5,0
0.00,50,3,0.107,50.000,4,0
0.00,50,4,0.124,3.216,5,0
0.00,50,5,0.089,7.503,4,0
0.00,55,1,0.104,4.185,4,2
0.00,55,2,0.086,50.000,4,0
0.00,55,3,0.096,8.353,4,0
0.00,55,4,0.090,21.564,5,0
0.00,55,5,0.099,38.649,4,0
0.00,60,1,0.076,50.000,4,0
0.00,60,2,0.087,50.000,4,0
0.00,60,3,0.097,50.000,4,0
0.00,60,4,0.068,50.000,4,0
0.00,60,5,0.065,50.000,3,0
0.05,10,1,0.036,50.000,1,2
0.05,10,2,0.031,178.641,2,0
0.05,10,3,0.024,183.107,1,1
0.05,10,4,0.032,224.027,2,1
0.05,10,5,0.032,50.000,3,2
0.05,15,1,0.071,0.514,5,3
0.05,15,2,0.080,1.937,5,2
0.05,15,3,0.080,0.525,3,1
0.05,15,4,0.080,0.567,4,1
0.05,15,5,0.068,0.900,5,1
0.05,20,1,0.092,0.558,5,1
0.05,20,2,0.087,0.529,5,1
0.05,20,3,0.099,0.855,5,4
0.05,20,4,0.077,0.550,4,3
0.05,20,5,0.107,0.460,4,2
0.05,25,1,0.110,0.442,4,4
0.05,25,2,0.123,0.443,5,2
0.05,25,3,0.102,0.499,5,3
0.05,25,4,0.104,0.471,5,2
0.05,25,5,0.126,0.456,5,2
0.05,30,1,0.127,0.446,5,3
0.05,30,2,0.124,0.454,5,3
0.05,30,3,0.127,0.447,5,0
0.05,30,4,0.128,0.455,5,2
0.05,30,5,0.137,0.430,5,5
0.05,35,1,0.143,0.394,5,4
0.05,35,2,0.133,0.421,5,1
0.05,35,3,0.130,0.424,5,4
0.05,35,4,0.138,0.422,5,4
0.05,35,5,0.131,0.433,5,4
0.05,40,1,0.141,0.398,5,5
0.05,40,2,0.140,0.401,5,5
0.05,40,3,0.139,0.401,5,3
0.05,40,4,0.140,0.408,5,2
0.05,40,5,0.137,0.409,5,4
0.05,45,1,0.144,0.397,5,4
0.05,45,2,0.142,0.403,5,4
0.05,45,3,0.144,0.394,5,4
0.05,45,4,0.145,0.406,5,4
0.05,45,5,0.139,0.416,5,3
0.05,50,1,0.142,0.405,5,5
0.05,50,2,0.150,0.393,5,4
0.05,50,3,0.152,0.389,5,5
0.05,50,4,0.145,0.386,5,3
0.05,50,5,0.148,0.385,5,3
0.05,55,1,0.149,0.386,5,5
0.05,55,2,0.145,0.393,5,4
0.05,55,3,0.150,0.384,5,4
0.05,55,4,0.147,0.383,5,3
0.05,55,5,0.152,0.381,5,5
0.05,60,1,0.140,0.378,5,4
0.05,60,2,0.141,0.378,5,4
0.05,60,3,0.142,0.384,5,4
0.05,60,4,0.147,0.382,5,4
0.05,60,5,0.148,0.382,5,5
0.10,10,1,0.038,119.594,4,4
0.10,10,2,0.031,202.866,5,2
0.10,10,3,0.031,117.585,3,1
0.10,10,4,0.028,128.903,1,1
0.10,10,5,0.031,156.194,2,1
0.10,15,1,0.070,0.529,4,3
0.10,15,2,0.048,6.511,2,2
0.10,15,3,0.063,100.980,3,3
0.10,15,4,0.061,1.697,4,3
0.10,15,5,0.084,0.517,4,2
0.10,20,1,0.094,0.443,4,3
0.10,20,2,0.094,0.506,5,2
0.10,20,3,0.092,0.465,3,1
0.10,20,4,0.111,0.437,5,2
0.10,20,5,0.091,0.472,4,5
0.10,25,1,0.110,0.438,5,4
0.10,25,2,0.128,0.396,5,3
0.10,25,3,0.125,0.398,5,4
0.10,25,4,0.134,0.389,5,4
0.10,25,5,0.130,0.414,5,5
0.10,30,1,0.139,0.370,5,4
0.10,30,2,0.134,0.383,5,4
0.10,30,3,0.145,0.377,5,2
0.10,30,4,0.129,0.380,5,4
0.10,30,5,0.137,0.388,5,4
0.10,35,1,0.147,0.364,5,5
0.10,35,2,0.151,0.363,5,5
0.10,35,3,0.157,0.363,5,5
0.10,35,4,0.145,0.368,5,5
0.10,35,5,0.147,0.365,5,4
0.10,40,1,0.149,0.361,5,5
0.10,40,2,0.151,0.357,5,4
0.10,40,3,0.150,0.359,5,5
0.10,40,4,0.151,0.361,5,4
0.10,40,5,0.151,0.360,5,3
0.10,45,1,0.154,0.356,5,5
0.10,45,2,0.153,0.355,5,4
0.10,45,3,0.152,0.358,5,5
0.10,45,4,0.157,0.353,5,5
0.10,45,5,0.153,0.355,5,4
0.10,50,1,0.157,0.350,5,5
0.10,50,2,0.159,0.355,5,5
0.10,50,3,0.155,0.355,5,4
0.10,50,4,0.155,0.349,5,5
0.10,50,5,0.153,0.351,5,5
0.10,55,1,0.156,0.349,5,5
0.10,55,2,0.153,0.354,5,4
0.10,55,3,0.155,0.347,5,5
0.10,55,4,0.155,0.350,5,5
0.10,55,5,0.154,0.350,5,4
0.10,60,1,0.154,0.347,5,5
0.10,60,2,0.154,0.349,5,5
0.10,60,3,0.155,0.347,5,5
0.10,60,4,0.154,0.348,5,4
0.10,60,5,0.155,0.352,5,5
0.15,10,1,0.040,116.637,1,3
0.15,10,2,0.031,112.361,5,2
0.15,10,3,0.034,127.064,4,4
0.15,10,4,0.037,101.766,2,2
0.15,10,5,0.035,109.637,1,3
0.15,15,1,0.075,0.506,5,4
0.15,15,2,0.074,0.472,3,3
0.15,15,3,0.072,0.474,4,2
0.15,15,4,0.073,0.511,4,3
0.15,15,5,0.069,0.471,5,4
0.15,20,1,0.084,0.450,5,3
0.15,20,2,0.093,0.454,5,4
0.15,20,3,0.105,0.432,4,4
0.15,20,4,0.107,0.424,5,2
0.15,20,5,0.100,0.423,5,4
0.15,25,1,0.133,0.371,5,5
0.15,25,2,0.132,0.368,5,5
0.15,25,3,0.141,0.355,5,5
0.15,25,4,0.137,0.365,5,4
0.15,25,5,0.138,0.367,5,4
0.15,30,1,0.143,0.353,5,4
0.15,30,2,0.144,0.357,5,4
0.15,30,3,0.147,0.350,5,5
0.15,30,4,0.147,0.353,5,5
0.15,30,5,0.151,0.347,5,5
0.15,35,1,0.151,0.350,5,4
0.15,35,2,0.154,0.349,5,5
0.15,35,3,0.155,0.348,5,5
0.15,35,4,0.155,0.347,5,5
0.15,35,5,0.153,0.350,5,5
0.15,40,1,0.155,0.344,5,4
0.15,40,2,0.159,0.346,5,5
0.15,40,3,0.160,0.347,5,5
0.15,40,4,0.155,0.347,5,4
0.15,40,5,0.154,0.341,5,5
0.15,45,1,0.158,0.344,5,5
0.15,45,2,0.159,0.340,5,5
0.15,45,3,0.157,0.341,5,5
0.15,45,4,0.155,0.341,5,5
0.15,45,5,0.157,0.341,5,5
0.15,50,1,0.159,0.339,5,5
0.15,50,2,0.157,0.339,5,5
0.15,50,3,0.158,0.336,5,5
0.15,50,4,0.158,0.340,5,5
0.15,50,5,0.156,0.338,5,5
0.15,55,1,0.159,0.337,5,5
0.15,55,2,0.169,0.338,5,5
0.15,55,3,0.163,0.339,5,5
0.15,55,4,0.161,0.337,5,5
0.15,55,5,0.161,0.339,5,5
0.15,60,1,0.161,0.335,5,5
0.15,60,2,0.158,0.337,5,5
0.15,60,3,0.160,0.336,5,5
0.15,60,4,0.162,0.335,5,5
0.15,60,5,0.160,0.338,5,5
0.20,10,1,0.039,4.408,4,4
0.20,10,2,0.038,2.723,3,4
0.20,10,3,0.043,6.812,4,1
0.20,10,4,0.036,9.521,3,3
0.20,10,5,0.038,7.936,2,3
0.20,15,1,0.071,0.436,4,3
0.20,15,2,0.068,0.451,5,4
0.20,15,3,0.080,0.455,4,4
0.20,15,4,0.073,0.472,5,2
0.20,15,5,0.064,0.469,4,5
0.20,20,1,0.110,0.398,5,5
0.20,20,2,0.125,0.375,4,5
0.20,20,3,0.096,0.425,5,4
0.20,20,4,0.125,0.378,5,5
0.20,20,5,0.125,0.374,5,5
0.20,25,1,0.145,0.348,5,5
0.20,25,2,0.135,0.359,5,5
0.20,25,3,0.141,0.352,5,5
0.20,25,4,0.145,0.353,5,5
0.20,25,5,0.138,0.359,5,3
0.20,30,1,0.152,0.340,5,5
0.20,30,2,0.152,0.346,5,5
0.20,30,3,0.153,0.340,5,5
0.20,30,4,0.152,0.341,5,5
0.20,30,5,0.154,0.344,5,5
0.20,35,1,0.153,0.336,5,4
0.20,35,2,0.153,0.341,5,5
0.20,35,3,0.161,0.341,5,5
0.20,35,4,0.155,0.338,5,5
0.20,35,5,0.156,0.336,5,5
0.20,40,1,0.155,0.334,5,5
0.20,40,2,0.157,0.337,5,5
0.20,40,3,0.159,0.337,5,5
0.20,40,4,0.156,0.336,5,5
0.20,40,5,0.156,0.335,5,5
0.20,45,1,0.160,0.333,5,5
0.20,45,2,0.158,0.333,5,5
0.20,45,3,0.161,0.334,5,5
0.20,45,4,0.165,0.333,5,5
0.20,45,5,0.164,0.335,5,5
0.20,50,1,0.166,0.333,5,5
