noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.010,50.000,0,0
0.00,10,2,0.061,50.000,1,0
0.00,10,3,0.021,50.000,0,0
0.00,10,4,0.013,50.000,0,0
0.00,10,5,0.051,50.000,1,0
0.00,15,1,0.028,50.000,3,0
0.00,15,2,0.085,13.948,1,0
0.00,15,3,0.071,50.000,2,0
0.00,15,4,0.051,50.000,1,0
0.00,15,5,0.060,50.000,2,0
0.00,20,1,0.085,50.000,2,0
0.00,20,2,0.103,2.864,4,0
0.00,20,3,0.077,50.000,3,0
0.00,20,4,0.066,4.298,4,0
0.00,20,5,0.083,50.000,3,0
0.00,25,1,0.119,3.134,5,0
0.00,25,2,0.112,50.000,5,0
0.00,25,3,0.109,50.000,5,0
0.00,25,4,0.110,3.048,4,0
0.00,25,5,0.110,50.000,5,0
0.00,30,1,0.077,50.000,5,0
0.00,30,2,0.125,50.000,5,0
0.00,30,3,0.111,7.191,5,0
0.00,30,4,0.100,50.000,5,1
0.00,30,5,0.109,50.000,4,0
0.00,35,1,0.105,4.994,4,0
0.00,35,2,0.116,34.176,5,0
0.00,35,3,0.103,7.992,4,0
0.00,35,4,0.117,4.766,5,0
0.00,35,5,0.126,5.691,5,0
0.00,40,1,0.099,50.000,5,0
0.00,40,2,0.119,7.661,5,0
0.00,40,3,0.121,50.000,5,0
0.00,40,4,0.122,7.322,5,0
0.00,40,5,0.108,5.065,5,0
0.00,45,1,0.112,19.571,4,1
0.00,45,2,0.117,15.970,5,0
0.00,45,3,0.105,15.171,5,0
0.00,45,4,0.091,50.000,4,0
0.00,45,5,0.107,50.000,5,0
0.00,50,1,0.095,50.000,5,0
0.00,50,2,0.104,10.732,4,0
0.00,50,3,0.119,50.000,4,0
0.00,50,4,0.120,50.000,5,0
0.00,50,5,0.120,50.000,5,0
0.00,55,1,0.098,7.305,5,1
0.00,55,2,0.106,4.044,5,0
0.00,55,3,0.095,50.000,5,0
0.00,55,4,0.095,50.000,3,0
0.00,55,5,0.109,50.000,4,0
0.00,60,1,0.088,6.616,5,0
0.00,60,2,0.087,50.000,5,0
0.00,60,3,0.062,50.000,3,0
0.00,60,4,0.082,4.676,3,0
0.00,60,5,0.078,50.000,3,0
0.05,10,1,0.028,122.248,2,0
0.05,10,2,0.026,257.524,4,2
0.05,10,3,0.025,189.306,0,0
0.05,10,4,0.036,50.000,0,2
0.05,10,5,0.029,149.627,0,2
0.05,15,1,0.069,0.788,4,0
0.05,15,2,0.052,50.000,4,3
0.05,15,3,0.054,50.000,3,2
0.05,15,4,0.060,0.837,5,2
0.05,15,5,0.056,3.006,3,1
0.05,20,1,0.097,0.509,5,4
0.05,20,2,0.085,0.511,3,5
0.05,20,3,0.066,7.673,4,3
0.05,20,4,0.081,0.567,4,2
0.05,20,5,0.109,0.504,5,3
0.05,25,1,0.115,0.479,3,3
0.05,25,2,0.118,0.459,5,3
0.05,25,3,0.126,0.453,5,1
0.05,25,4,0.113,0.477,5,3
0.05,25,5,0.119,0.468,5,0
0.05,30,1,0.127,0.431,5,4
0.05,30,2,0.134,0.427,5,3
0.05,30,3,0.119,0.450,5,3
0.05,30,4,0.125,0.450,5,1
0.05,30,5,0.138,0.414,5,5
0.05,35,1,0.136,0.426,5,3
0.05,35,2,0.140,0.396,5,3
0.05,35,3,0.134,0.407,5,1
