noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.042,50.000,3,0
0.00,10,2,0.014,50.000,0,0
0.00,10,3,0.064,50.000,4,0
0.00,10,4,0.046,50.000,1,0
0.00,10,5,0.046,50.000,3,0
0.00,15,1,0.092,50.000,5,0
0.00,15,2,0.093,50.000,4,0
0.00,15,3,0.069,50.000,3,0
0.00,15,4,0.100,50.000,5,0
0.00,15,5,0.085,50.000,3,0
0.00,20,1,0.092,50.000,4,0
0.00,20,2,0.110,4.444,5,0
0.00,20,3,0.098,13.491,5,0
0.00,20,4,0.084,50.000,3,0
0.00,20,5,0.096,21.750,5,0
0.00,25,1,0.105,5.174,4,0
0.00,25,2,0.110,2.912,5,0
0.00,25,3,0.126,9.375,4,0
0.00,25,4,0.116,3.586,4,0
0.00,25,5,0.120,3.785,5,0
0.00,30,1,0.109,50.000,5,1
0.00,30,2,0.108,3.649,4,0
0.00,30,3,0.112,11.249,4,0
0.00,30,4,0.105,50.000,4,0
0.00,30,5,0.125,6.178,5,1
0.00,35,1,0.122,3.755,5,1
0.00,35,2,0.127,50.000,5,0
0.00,35,3,0.126,5.084,5,0
0.00,35,4,0.125,50.000,5,0
0.00,35,5,0.120,5.952,5,0
0.00,40,1,0.121,4.783,4,0
0.00,40,2,0.097,12.510,5,0
0.00,40,3,0.118,8.094,5,0
0.00,40,4,0.110,50.000,5,0
0.00,40,5,0.105,32.392,5,0
0.00,45,1,0.109,50.000,5,0
0.00,45,2,0.115,25.887,5,0
0.00,45,3,0.111,4.384,4,0
0.00,45,4,0.121,50.000,5,0
0.00,45,5,0.116,50.000,5,0
0.00,50,1,0.103,50.000,5,0
0.00,50,2,0.112,50.000,4,0
0.00,50,3,0.111,7.338,5,0
0.00,50,4,0.092,50.000,4,0
0.00,50,5,0.107,50.000,4,0
0.00,55,1,0.099,50.000,4,1
0.00,55,2,0.102,50.000,5,0
0.00,55,3,0.111,50.000,4,0
0.00,55,4,0.111,6.567,5,0
0.00,55,5,0.108,3.739,4,0
0.00,60,1,0.111,40.058,5,0
0.00,60,2,0.073,50.000,4,0
0.00,60,3,0.087,5.291,4,0
0.00,60,4,0.076,50.000,5,0
0.00,60,5,0.088,50.000,4,0
0.05,10,1,0.030,128.684,2,0
0.05,10,2,0.031,256.124,0,1
0.05,10,3,0.038,50.000,3,1
0.05,10,4,0.026,133.262,2,0
0.05,10,5,0.031,127.037,1,0
0.05,15,1,0.049,14.246,3,3
0.05,15,2,0.060,0.836,3,2
0.05,15,3,0.052,50.000,5,3
0.05,15,4,0.065,1.165,3,2
0.05,15,5,0.071,1.228,4,2
0.05,20,1,0.108,0.493,5,4
0.05,20,2,0.109,0.487,5,1
0.05,20,3,0.081,0.550,4,2
0.05,20,4,0.069,0.600,4,2
0.05,20,5,0.084,0.499,5,3
0.05,25,1,0.116,0.437,5,2
0.05,25,2,0.111,0.465,5,4
0.05,25,3,0.107,0.481,5,3
0.05,25,4,0.119,0.469,5,2
0.05,25,5,0.117,0.440,5,0
0.05,30,1,0.124,0.435,5,3
0.05,30,2,0.128,0.453,5,2
0.05,30,3,0.127,0.453,5,2
0.05,30,4,0.130,0.429,5,2
0.05,30,5,0.125,0.444,5,3
0.05,35,1,0.137,0.415,5,3
0.05,35,2,0.142,0.408,5,4
0.05,35,3,0.143,0.406,5,3
0.05,35,4,0.134,0.425,5,2
0.05,35,5,0.138,0.409,5,5
0.05,40,1,0.146,0.397,5,4
0.05,40,2,0.143,0.409,5,3
0.05,40,3,0.139,0.405,5,4
0.05,40,4,0.135,0.408,5,4
0.05,40,5,0.132,0.405,5,4
0.05,45,1,0.144,0.404,5,5
0.05,45,2,0.148,0.394,5,3
0.05,45,3,0.140,0.404,5,2
0.05,45,4,0.143,0.399,5,5
0.05,45,5,0.146,0.398,5,3
0.05,50,1,0.141,0.395,5,4
0.05,50,2,0.148,0.391,5,4
0.05,50,3,0.144,0.381,5,4
0.05,50,4,0.143,0.385,5,3
0.05,50,5,0.148,0.388,5,2
0.05,55,1,0.143,0.386,5,5
0.05,55,2,0.146,0.381,5,3
0.05,55,3,0.148,0.383,5,4
0.05,55,4,0.145,0.384,5,5
0.05,55,5,0.146,0.382,5,3
0.05,60,1,0.145,0.385,5,4
0.05,60,2,0.140,0.382,4,5
0.05,60,3,0.145,0.376,5,5
