noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.039,50.000,1,0
0.00,10,2,0.015,50.000,0,0
0.00,10,3,0.030,50.000,3,0
0.00,10,4,0.050,50.000,2,0
0.00,10,5,0.055,50.000,2,0
0.00,15,1,0.087,4.599,4,0
0.00,15,2,0.093,50.000,4,0
0.00,15,3,0.054,50.000,5,0
0.00,15,4,0.058,50.000,3,0
0.00,15,5,0.046,50.000,0,0
0.00,20,1,0.103,50.000,5,0
0.00,20,2,0.117,4.556,4,0
0.00,20,3,0.112,3.753,5,0
0.00,20,4,0.105,4.187,5,0
0.00,20,5,0.112,50.000,5,0
0.00,25,1,0.114,7.618,5,1
0.00,25,2,0.118,50.000,5,0
0.00,25,3,0.109,4.558,5,0
0.00,25,4,0.092,50.000,4,0
0.00,25,5,0.108,50.000,4,0
0.00,30,1,0.125,50.000,5,1
0.00,30,2,0.110,50.000,5,0
0.00,30,3,0.130,3.010,5,0
0.00,30,4,0.120,4.652,5,0
0.00,30,5,0.111,50.000,5,0
0.00,35,1,0.116,7.389,4,1
0.00,35,2,0.118,11.604,5,0
0.00,35,3,0.122,50.000,4,0
0.00,35,4,0.118,50.000,5,0
0.00,35,5,0.118,5.789,5,0
0.00,40,1,0.125,7.109,5,1
0.00,40,2,0.109,50.000,5,0
0.00,40,3,0.105,50.000,4,0
0.00,40,4,0.120,2.679,5,0
0.00,40,5,0.125,50.000,5,0
0.00,45,1,0.114,50.000,5,0
0.00,45,2,0.102,50.000,5,0
0.00,45,3,0.126,19.939,5,0
0.00,45,4,0.109,50.000,5,0
0.00,45,5,0.116,3.525,5,1
0.00,50,1,0.118,8.298,5,0
0.00,50,2,0.091,50.000,5,0
0.00,50,3,0.113,50.000,5,0
0.00,50,4,0.116,3.558,5,0
0.00,50,5,0.109,50.000,3,0
0.00,55,1,0.102,50.000,4,0
0.00,55,2,0.107,50.000,5,0
0.00,55,3,0.104,4.496,5,0
0.00,55,4,0.097,50.000,5,0
0.00,55,5,0.093,50.000,5,0
0.00,60,1,0.095,4.741,3,0
0.00,60,2,0.099,50.000,5,0
0.00,60,3,0.080,50.000,3,0
0.00,60,4,0.083,15.376,4,0
0.00,60,5,0.090,4.264,4,0
0.05,10,1,0.034,62.815,1,1
0.05,10,2,0.017,234.458,1,0
0.05,10,3,0.024,195.643,2,0
0.05,10,4,0.049,2.194,1,2
0.05,10,5,0.040,50.000,2,1
0.05,15,1,0.058,0.836,2,2
0.05,15,2,0.076,50.000,3,0
0.05,15,3,0.042,120.267,1,0
0.05,15,4,0.059,50.000,3,2
0.05,15,5,0.059,1.179,4,1
0.05,20,1,0.075,0.529,4,2
0.05,20,2,0.079,0.895,4,1
0.05,20,3,0.097,0.481,3,1
0.05,20,4,0.096,0.567,3,2
0.05,20,5,0.071,0.525,3,0
0.05,25,1,0.110,0.483,5,2
0.05,25,2,0.115,0.450,5,1
0.05,25,3,0.119,0.499,5,3
0.05,25,4,0.110,0.532,4,0
0.05,25,5,0.114,0.479,4,1
0.05,30,1,0.130,0.439,5,0
0.05,30,2,0.136,0.430,5,2
0.05,30,3,0.127,0.425,5,3
0.05,30,4,0.131,0.418,5,4
0.05,30,5,0.139,0.429,5,2
0.05,35,1,0.142,0.409,5,5
0.05,35,2,0.142,0.412,5,2
0.05,35,3,0.134,0.434,5,3
0.05,35,4,0.139,0.405,5,0
0.05,35,5,0.139,0.413,5,4
0.05,40,1,0.142,0.398,5,1
0.05,40,2,0.144,0.392,5,4
0.05,40,3,0.140,0.410,5,2
0.05,40,4,0.138,0.406,5,3
0.05,40,5,0.142,0.412,4,4
0.05,45,1,0.140,0.399,5,2
0.05,45,2,0.145,0.398,5,1
0.05,45,3,0.148,0.387,5,3
0.05,45,4,0.146,0.387,5,5
0.05,45,5,0.147,0.386,5,4
0.05,50,1,0.149,0.392,5,3
0.05,50,2,0.144,0.400,5,3
0.05,50,3,0.146,0.387,5,3
0.05,50,4,0.148,0.389,5,5
0.05,50,5,0.147,0.384,5,4
0.05,55,1,0.145,0.390,5,2
0.05,55,2,0.136,0.396,5,4
0.05,55,3,0.147,0.389,5,3
0.05,55,4,0.145,0.377,5,4
0.05,55,5,0.143,0.389,5,5
0.05,60,1,0.131,0.390,5,5
0.05,60,2,0.137,0.380,5,4
0.05,60,3,0.143,0.382,5,5
0.05,60,4,0.133,0.382,5,5
0.05,60,5,0.136,0.391,5,4
0.10,10,1,0.033,173.924,4,3
0.10,10,2,0.037,140.358,4,2
0.10,10,3,0.026,138.537,3,2
0.10,10,4,0.031,151.129,2,1
0.10,10,5,0.027,112.174,0,3
0.10,15,1,0.069,0.519,3,4
0.10,15,2,0.062,109.608,4,2
0.10,15,3,0.050,94.862,5,2
0.10,15,4,0.062,0.829,4,4
0.10,15,5,0.052,0.542,3,0
0.10,20,1,0.097,0.455,5,4
0.10,20,2,0.080,0.535,4,3
0.10,20,3,0.093,0.474,4,3
0.10,20,4,0.109,0.433,5,4
0.10,20,5,0.115,0.460,5,5
0.10,25,1,0.129,0.385,5,4
0.10,25,2,0.140,0.381,5,5
0.10,25,3,0.125,0.408,5,2
0.10,25,4,0.125,0.399,4,3
0.10,25,5,0.130,0.392,5,3
0.10,30,1,0.136,0.382,5,5
0.10,30,2,0.143,0.372,5,3
0.10,30,3,0.142,0.379,5,4
0.10,30,4,0.139,0.379,5,4
0.10,30,5,0.140,0.377,5,5
0.10,35,1,0.145,0.375,5,4
0.10,35,2,0.145,0.365,5,3
0.10,35,3,0.151,0.359,5,5
0.10,35,4,0.144,0.375,5,3
0.10,35,5,0.151,0.357,5,4
0.10,40,1,0.151,0.359,5,5
0.10,40,2,0.151,0.358,5,3
0.10,40,3,0.152,0.362,5,5
0.10,40,4,0.150,0.358,5,4
0.10,40,5,0.148,0.358,5,5
0.10,45,1,0.152,0.354,5,5
0.10,45,2,0.152,0.351,5,5
0.10,45,3,0.157,0.354,5,5
0.10,45,4,0.156,0.347,5,5
0.10,45,5,0.159,0.353,5,5
0.10,50,1,0.157,0.354,5,5
0.10,50,2,0.152,0.353,5,5
0.10,50,3,0.153,0.351,5,4
0.10,50,4,0.153,0.353,5,5
0.10,50,5,0.160,0.350,5,5
0.10,55,1,0.158,0.350,5,5
0.10,55,2,0.155,0.349,5,5
0.10,55,3,0.155,0.353,5,4
0.10,55,4,0.155,0.351,5,2
0.10,55,5,0.155,0.352,5,5
0.10,60,1,0.155,0.348,5,5
0.10,60,2,0.151,0.350,5,5
0.10,60,3,0.155,0.349,5,5
0.10,60,4,0.153,0.347,5,5
