noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.062,50.000,2,0
0.00,10,2,0.042,50.000,1,0
0.00,10,3,0.020,50.000,0,0
0.00,10,4,0.039,50.000,3,0
0.00,10,5,0.041,50.000,2,0
0.00,15,1,0.072,50.000,4,0
0.00,15,2,0.075,50.000,4,0
0.00,15,3,0.055,50.000,3,0
0.00,15,4,0.072,6.270,4,0
0.00,15,5,0.033,50.000,0,0
0.00,20,1,0.090,50.000,5,0
0.00,20,2,0.070,3.917,3,0
0.00,20,3,0.100,16.487,4,0
0.00,20,4,0.101,50.000,4,0
0.00,20,5,0.112,4.314,4,0
0.00,25,1,0.118,4.300,5,0
0.00,25,2,0.109,3.047,5,0
0.00,25,3,0.120,50.000,4,0
0.00,25,4,0.097,3.987,4,0
0.00,25,5,0.103,50.000,5,0
0.00,30,1,0.115,3.587,5,0
0.00,30,2,0.097,4.307,5,0
0.00,30,3,0.123,8.951,5,0
0.00,30,4,0.124,4.076,5,0
0.00,30,5,0.124,5.551,5,0
0.00,35,1,0.117,6.736,5,1
0.00,35,2,0.128,4.389,5,0
0.00,35,3,0.107,10.629,5,0
0.00,35,4,0.119,10.808,5,0
0.00,35,5,0.121,3.490,5,0
0.00,40,1,0.115,50.000,5,0
0.00,40,2,0.120,6.514,5,0
0.00,40,3,0.111,22.341,5,0
0.00,40,4,0.129,50.000,5,0
0.00,40,5,0.112,50.000,5,0
0.00,45,1,0.118,50.000,5,0
0.00,45,2,0.107,50.000,3,0
0.00,45,3,0.116,4.968,5,0
0.00,45,4,0.117,5.943,5,0
0.00,45,5,0.109,50.000,5,0
0.00,50,1,0.114,50.000,5,0
0.00,50,2,0.111,50.000,5,0
0.00,50,3,0.102,3.719,5,0
0.00,50,4,0.096,50.000,4,0
0.00,50,5,0.096,50.000,4,0
0.00,55,1,0.103,5.926,5,0
0.00,55,2,0.105,50.000,5,0
0.00,55,3,0.094,8.924,3,0
0.00,55,4,0.096,10.213,4,0
0.00,55,5,0.108,50.000,3,0
0.00,60,1,0.084,50.000,4,0
0.00,60,2,0.042,50.000,2,0
0.00,60,3,0.097,13.369,5,0
0.00,60,4,0.085,50.000,4,0
0.00,60,5,0.111,5.302,4,0
0.05,10,1,0.021,123.189,0,1
0.05,10,2,0.019,161.348,1,0
0.05,10,3,0.049,50.000,2,1
0.05,10,4,0.026,149.897,1,1
0.05,10,5,0.023,140.757,1,1
0.05,15,1,0.050,137.107,5,0
0.05,15,2,0.064,0.582,4,2
0.05,15,3,0.060,1.223,2,2
0.05,15,4,0.047,135.039,3,0
0.05,15,5,0.053,2.672,3,2
0.05,20,1,0.096,0.542,4,3
0.05,20,2,0.082,0.786,4,4
0.05,20,3,0.118,0.459,5,2
0.05,20,4,0.101,0.493,5,1
0.05,20,5,0.081,0.546,3,1
0.05,25,1,0.115,0.463,5,1
0.05,25,2,0.116,0.460,5,3
0.05,25,3,0.114,0.485,4,3
0.05,25,4,0.110,0.485,5,1
0.05,25,5,0.124,0.448,5,2
0.05,30,1,0.134,0.435,5,4
0.05,30,2,0.124,0.454,5,4
0.05,30,3,0.133,0.425,5,4
0.05,30,4,0.118,0.454,5,3
0.05,30,5,0.138,0.431,5,5
0.05,35,1,0.137,0.407,5,3
0.05,35,2,0.140,0.401,5,4
0.05,35,3,0.137,0.413,5,2
0.05,35,4,0.137,0.419,5,4
0.05,35,5,0.132,0.409,5,3
0.05,40,1,0.134,0.412,5,3
0.05,40,2,0.140,0.397,5,4
0.05,40,3,0.145,0.412,5,5
0.05,40,4,0.144,0.405,5,4
0.05,40,5,0.142,0.401,5,1
0.05,45,1,0.147,0.394,5,2
0.05,45,2,0.145,0.384,5,3
