noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.028,50.000,1,0
0.00,10,2,0.013,50.000,2,0
0.00,10,3,0.057,50.000,4,0
0.00,10,4,0.048,50.000,0,0
0.00,10,5,0.055,50.000,2,0
0.00,15,1,0.092,10.214,4,0
0.00,15,2,0.084,50.000,4,0
0.00,15,3,0.083,11.154,5,0
0.00,15,4,0.088,50.000,2,0
0.00,15,5,0.078,50.000,1,0
0.00,20,1,0.102,50.000,4,0
0.00,20,2,0.101,50.000,5,0
0.00,20,3,0.096,50.000,4,0
0.00,20,4,0.051,50.000,5,0
0.00,20,5,0.097,50.000,5,0
0.00,25,1,0.117,2.899,4,0
0.00,25,2,0.120,2.519,3,0
0.00,25,3,0.093,50.000,5,0
0.00,25,4,0.113,50.000,4,0
0.00,25,5,0.124,6.845,5,0
0.00,30,1,0.129,3.253,5,0
0.00,30,2,0.104,10.385,5,1
0.00,30,3,0.121,35.367,5,0
0.00,30,4,0.127,9.680,5,0
0.00,30,5,0.113,50.000,5,0
0.00,35,1,0.109,50.000,4,0
0.00,35,2,0.111,7.839,5,0
0.00,35,3,0.101,50.000,5,0
0.00,35,4,0.115,3.083,5,0
0.00,35,5,0.117,40.385,5,0
0.00,40,1,0.126,7.191,5,0
0.00,40,2,0.116,50.000,5,0
0.00,40,3,0.119,50.000,5,0
0.00,40,4,0.122,50.000,5,0
0.00,40,5,0.106,50.000,4,0
0.00,45,1,0.105,50.000,4,0
0.00,45,2,0.117,7.369,5,0
0.00,45,3,0.116,50.000,3,0
0.00,45,4,0.100,29.296,5,0
0.00,45,5,0.105,30.309,3,0
0.00,50,1,0.124,9.037,5,0
0.00,50,2,0.132,3.864,4,0
0.00,50,3,0.106,50.000,4,0
0.00,50,4,0.118,2.909,5,0
0.00,50,5,0.103,50.000,5,0
0.00,55,1,0.105,50.000,3,0
0.00,55,2,0.103,50.000,5,0
0.00,55,3,0.110,50.000,5,0
0.00,55,4,0.100,50.000,3,0
0.00,55,5,0.082,50.000,3,0
0.00,60,1,0.088,7.751,2,0
0.00,60,2,0.087,50.000,5,0
0.00,60,3,0.084,50.000,4,0
0.00,60,4,0.094,50.000,2,0
0.00,60,5,0.069,50.000,2,0
0.05,10,1,0.026,196.730,1,1
0.05,10,2,0.034,180.811,0,2
0.05,10,3,0.027,50.000,3,0
0.05,10,4,0.039,6.707,3,1
0.05,10,5,0.024,165.560,2,1
0.05,15,1,0.066,1.527,5,2
0.05,15,2,0.081,0.550,4,1
0.05,15,3,0.065,88.730,2,1
0.05,15,4,0.056,0.563,3,2
0.05,15,5,0.079,0.779,3,2
0.05,20,1,0.091,0.567,4,3
0.05,20,2,0.111,0.474,5,2
0.05,20,3,0.110,0.481,5,3
0.05,20,4,0.092,0.511,5,4
0.05,20,5,0.105,0.509,4,1
0.05,25,1,0.119,0.466,5,2
0.05,25,2,0.094,0.511,5,2
0.05,25,3,0.120,0.463,5,4
0.05,25,4,0.102,0.485,4,4
0.05,25,5,0.101,0.504,4,1
0.05,30,1,0.120,0.455,5,5
0.05,30,2,0.125,0.444,5,2
0.05,30,3,0.115,0.455,5,2
0.05,30,4,0.123,0.441,5,1
0.05,30,5,0.115,0.479,5,3
0.05,35,1,0.142,0.405,5,2
0.05,35,2,0.137,0.416,5,2
0.05,35,3,0.128,0.422,5,3
0.05,35,4,0.130,0.436,5,1
0.05,35,5,0.140,0.410,5,3
0.05,40,1,0.141,0.393,5,4
0.05,40,2,0.140,0.406,5,4
0.05,40,3,0.136,0.408,5,4
0.05,40,4,0.141,0.407,5,4
0.05,40,5,0.142,0.410,5,3
0.05,45,1,0.146,0.390,5,4
0.05,45,2,0.146,0.388,5,4
0.05,45,3,0.140,0.396,5,2
0.05,45,4,0.141,0.395,5,3
0.05,45,5,0.144,0.399,5,3
0.05,50,1,0.153,0.380,5,5
0.05,50,2,0.149,0.389,5,5
0.05,50,3,0.142,0.392,5,4
0.05,50,4,0.135,0.401,5,4
0.05,50,5,0.144,0.384,5,4
0.05,55,1,0.146,0.381,5,4
0.05,55,2,0.145,0.382,5,3
0.05,55,3,0.136,0.386,5,4
0.05,55,4,0.146,0.389,5,4
0.05,55,5,0.144,0.382,5,3
0.05,60,1,0.143,0.382,5,5
0.05,60,2,0.144,0.383,5,2
0.05,60,3,0.143,0.376,4,4
0.05,60,4,0.141,0.381,5,5
0.05,60,5,0.145,0.378,5,4
0.10,10,1,0.030,147.836,2,2
0.10,10,2,0.025,138.799,3,1
0.10,10,3,0.030,138.014,0,1
0.10,10,4,0.037,125.628,3,2
0.10,10,5,0.031,130.024,4,2
0.10,15,1,0.048,89.468,3,3
0.10,15,2,0.083,0.456,4,3
0.10,15,3,0.054,0.535,4,1
0.10,15,4,0.063,2.257,3,2
