noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.014,50.000,1,0
0.00,10,2,0.017,50.000,1,0
0.00,10,3,0.028,50.000,3,0
0.00,10,4,0.015,50.000,0,0
0.00,10,5,0.008,50.000,0,0
0.00,15,1,0.077,4.384,2,0
0.00,15,2,0.089,17.222,4,0
0.00,15,3,0.089,7.524,3,0
0.00,15,4,0.074,50.000,2,0
0.00,15,5,0.067,15.423,2,0
0.00,20,1,0.080,13.025,4,0
0.00,20,2,0.110,6.027,3,0
0.00,20,3,0.094,17.938,4,0
0.00,20,4,0.094,50.000,4,0
0.00,20,5,0.110,3.888,4,0
0.00,25,1,0.112,50.000,4,0
0.00,25,2,0.113,5.871,4,0
0.00,25,3,0.106,50.000,5,0
0.00,25,4,0.117,50.000,5,0
0.00,25,5,0.110,50.000,5,0
0.00,30,1,0.121,4.781,5,0
0.00,30,2,0.114,50.000,5,0
0.00,30,3,0.124,50.000,5,0
0.00,30,4,0.097,50.000,4,0
0.00,30,5,0.124,8.253,5,0
0.00,35,1,0.122,50.000,5,0
0.00,35,2,0.123,50.000,5,0
0.00,35,3,0.112,5.715,5,0
0.00,35,4,0.114,4.772,5,0
0.00,35,5,0.114,3.984,5,0
0.00,40,1,0.111,50.000,5,0
0.00,40,2,0.115,50.000,5,0
0.00,40,3,0.112,50.000,4,0
0.00,40,4,0.121,2.600,5,0
0.00,40,5,0.118,6.404,5,0
0.00,45,1,0.099,50.000,4,0
0.00,45,2,0.130,3.213,5,0
0.00,45,3,0.093,4.432,5,0
0.00,45,4,0.116,50.000,5,0
0.00,45,5,0.113,6.584,5,0
0.00,50,1,0.107,50.000,5,0
0.00,50,2,0.092,50.000,5,0
0.00,50,3,0.115,50.000,5,0
0.00,50,4,0.113,50.000,5,0
0.00,50,5,0.096,50.000,2,0
0.00,55,1,0.093,50.000,3,0
0.00,55,2,0.110,9.745,4,0
0.00,55,3,0.112,50.000,4,0
0.00,55,4,0.099,28.909,4,0
0.00,55,5,0.103,50.000,4,0
0.00,60,1,0.097,50.000,3,2
0.00,60,2,0.050,50.000,2,0
0.00,60,3,0.113,8.543,5,0
0.00,60,4,0.089,50.000,2,0
0.00,60,5,0.078,50.000,4,0
0.05,10,1,0.022,165.048,1,1
0.05,10,2,0.039,50.000,3,3
0.05,10,3,0.031,50.000,2,1
0.05,10,4,0.031,140.926,2,3
0.05,10,5,0.025,224.054,4,2
0.05,15,1,0.059,428.058,4,1
0.05,15,2,0.075,1.609,4,1
0.05,15,3,0.063,0.834,5,0
0.05,15,4,0.081,0.818,4,1
0.05,15,5,0.063,0.594,4,2
0.05,20,1,0.123,0.462,5,1
0.05,20,2,0.087,0.567,4,0
0.05,20,3,0.105,0.501,3,1
0.05,20,4,0.106,0.472,5,2
0.05,20,5,0.107,0.517,5,0
0.05,25,1,0.128,0.451,5,2
0.05,25,2,0.130,0.438,5,1
0.05,25,3,0.124,0.438,5,1
0.05,25,4,0.122,0.442,5,3
0.05,25,5,0.110,0.448,5,3
0.05,30,1,0.124,0.427,5,3
0.05,30,2,0.123,0.436,5,3
0.05,30,3,0.129,0.414,5,2
0.05,30,4,0.131,0.410,5,3
0.05,30,5,0.125,0.425,5,2
0.05,35,1,0.129,0.433,5,3
0.05,35,2,0.136,0.425,5,4
0.05,35,3,0.138,0.425,5,4
0.05,35,4,0.131,0.428,4,3
0.05,35,5,0.139,0.412,5,3
0.05,40,1,0.141,0.408,5,5
0.05,40,2,0.138,0.405,5,3
0.05,40,3,0.140,0.404,5,2
0.05,40,4,0.137,0.424,5,4
0.05,40,5,0.141,0.409,4,3
0.05,45,1,0.143,0.387,5,3
0.05,45,2,0.144,0.387,5,3
0.05,45,3,0.144,0.398,5,5
0.05,45,4,0.140,0.397,5,3
0.05,45,5,0.131,0.420,5,3
0.05,50,1,0.147,0.387,5,5
0.05,50,2,0.146,0.389,5,3
0.05,50,3,0.147,0.389,5,4
0.05,50,4,0.143,0.393,5,3
0.05,50,5,0.142,0.391,5,4
0.05,55,1,0.144,0.384,5,4
0.05,55,2,0.144,0.388,5,4
0.05,55,3,0.148,0.377,5,3
0.05,55,4,0.144,0.377,5,3
0.05,55,5,0.146,0.387,5,5
0.05,60,1,0.144,0.388,5,5
0.05,60,2,0.144,0.384,5,4
0.05,60,3,0.136,0.376,5,3
0.05,60,4,0.141,0.380,5,4
0.05,60,5,0.147,0.377,5,4
0.10,10,1,0.033,118.050,1,3
0.10,10,2,0.028,140.029,2,3
0.10,10,3,0.035,139.801,4,2
0.10,10,4,0.032,126.220,0,3
0.10,10,5,0.026,152.377,2,2
0.10,15,1,0.052,101.650,4,3
0.10,15,2,0.059,58.203,4,2
0.10,15,3,0.048,112.595,4,1
0.10,15,4,0.067,47.913,5,3
0.10,15,5,0.062,2.840,2,1
0.10,20,1,0.100,0.410,5,4
0.10,20,2,0.097,0.446,4,3
0.10,20,3,0.123,0.423,5,4
0.10,20,4,0.108,0.422,4,4
0.10,20,5,0.121,0.418,5,2
0.10,25,1,0.117,0.403,5,4
0.10,25,2,0.120,0.422,5,3
0.10,25,3,0.127,0.399,5,0
0.10,25,4,0.130,0.385,5,3
0.10,25,5,0.123,0.396,5,4
0.10,30,1,0.144,0.381,5,5
0.10,30,2,0.138,0.372,5,4
0.10,30,3,0.145,0.373,5,3
0.10,30,4,0.138,0.383,4,3
0.10,30,5,0.144,0.370,5,5
0.10,35,1,0.149,0.372,5,5
0.10,35,2,0.146,0.364,5,5
0.10,35,3,0.147,0.367,5,5
0.10,35,4,0.147,0.376,5,5
0.10,35,5,0.147,0.362,5,4
0.10,40,1,0.151,0.362,5,5
0.10,40,2,0.154,0.361,5,5
0.10,40,3,0.154,0.360,5,5
0.10,40,4,0.157,0.359,5,5
0.10,40,5,0.150,0.361,5,3
0.10,45,1,0.152,0.357,5,4
0.10,45,2,0.153,0.362,5,5
0.10,45,3,0.151,0.351,5,5
0.10,45,4,0.156,0.357,5,5
0.10,45,5,0.152,0.352,5,4
0.10,50,1,0.155,0.355,5,4
0.10,50,2,0.157,0.352,5,5
0.10,50,3,0.153,0.348,5,4
0.10,50,4,0.154,0.352,5,5
0.10,50,5,0.154,0.350,5,5
0.10,55,1,0.153,0.352,5,5
0.10,55,2,0.157,0.351,5,5
0.10,55,3,0.155,0.352,5,5
0.10,55,4,0.153,0.354,5,5
0.10,55,5,0.154,0.350,5,5
0.10,60,1,0.154,0.345,5,5
0.10,60,2,0.155,0.350,5,5
0.10,60,3,0.155,0.346,5,5
0.10,60,4,0.156,0.346,5,5
0.10,60,5,0.152,0.350,5,5
0.15,10,1,0.034,120.528,4,3
0.15,10,2,0.032,118.977,5,4
0.15,10,3,0.034,115.272,3,2
0.15,10,4,0.034,99.597,2,3
0.15,10,5,0.037,112.649,1,4
0.15,15,1,0.072,0.896,4,4
0.15,15,2,0.070,0.495,3,4
0.15,15,3,0.069,0.474,5,4
0.15,15,4,0.060,0.485,5,4
0.15,15,5,0.074,0.485,5,1
0.15,20,1,0.115,0.397,5,5
0.15,20,2,0.099,0.412,5,4
0.15,20,3,0.129,0.384,5,5
0.15,20,4,0.123,0.378,5,5
0.15,20,5,0.103,0.399,5,5
0.15,25,1,0.134,0.365,4,5
0.15,25,2,0.138,0.377,5,4
0.15,25,3,0.140,0.357,5,5
0.15,25,4,0.144,0.361,5,5
0.15,25,5,0.145,0.358,5,5
0.15,30,1,0.146,0.353,5,3
0.15,30,2,0.144,0.358,5,5
0.15,30,3,0.149,0.351,5,4
0.15,30,4,0.143,0.352,5,3
0.15,30,5,0.147,0.354,5,5
0.15,35,1,0.153,0.349,5,5
0.15,35,2,0.153,0.341,5,4
0.15,35,3,0.155,0.343,5,5
0.15,35,4,0.153,0.350,5,5
0.15,35,5,0.154,0.349,5,5
0.15,40,1,0.154,0.342,5,5
0.15,40,2,0.153,0.345,5,4
0.15,40,3,0.154,0.342,5,5
0.15,40,4,0.153,0.345,5,5
0.15,40,5,0.154,0.344,5,5
