noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.063,50.000,2,0
0.00,10,2,0.048,50.000,3,0
0.00,10,3,0.055,19.589,3,0
0.00,10,4,0.012,50.000,0,0
0.00,10,5,0.079,50.000,3,0
0.00,15,1,0.062,50.000,1,0
0.00,15,2,0.066,50.000,4,0
0.00,15,3,0.079,50.000,4,0
0.00,15,4,0.097,5.170,4,0
0.00,15,5,0.071,50.000,3,0
0.00,20,1,0.118,50.000,5,0
0.00,20,2,0.104,50.000,5,0
0.00,20,3,0.110,50.000,4,0
0.00,20,4,0.103,50.000,4,0
0.00,20,5,0.108,50.000,5,0
0.00,25,1,0.115,50.000,5,0
0.00,25,2,0.112,3.083,5,0
0.00,25,3,0.116,2.758,4,0
0.00,25,4,0.120,50.000,5,0
0.00,25,5,0.110,50.000,5,0
0.00,30,1,0.125,15.374,4,0
0.00,30,2,0.125,3.732,4,0
0.00,30,3,0.100,50.000,5,0
0.00,30,4,0.113,50.000,5,1
0.00,30,5,0.106,50.000,5,0
0.00,35,1,0.112,5.926,5,0
0.00,35,2,0.111,50.000,5,0
0.00,35,3,0.128,50.000,5,0
0.00,35,4,0.113,50.000,5,0
0.00,35,5,0.125,5.099,5,0
0.00,40,1,0.114,3.397,5,1
0.00,40,2,0.108,41.256,4,0
0.00,40,3,0.115,8.508,5,0
0.00,40,4,0.124,3.997,5,0
0.00,40,5,0.113,50.000,4,0
0.00,45,1,0.114,50.000,5,0
0.00,45,2,0.120,50.000,5,0
0.00,45,3,0.111,8.490,4,1
0.00,45,4,0.102,50.000,3,0
0.00,45,5,0.121,4.728,5,0
0.00,50,1,0.120,50.000,5,1
0.00,50,2,0.108,7.842,5,2
0.00,50,3,0.102,5.998,5,0
0.00,50,4,0.114,50.000,4,0
0.00,50,5,0.108,3.285,4,0
0.00,55,1,0.099,50.000,4,0
0.00,55,2,0.103,50.000,5,0
0.00,55,3,0.100,50.000,5,0
0.00,55,4,0.115,50.000,5,0
0.00,55,5,0.111,50.000,4,0
0.00,60,1,0.093,50.000,4,0
0.00,60,2,0.093,6.335,4,0
0.00,60,3,0.054,50.000,4,0
0.00,60,4,0.099,50.000,2,0
0.00,60,5,0.090,6.482,5,0
0.05,10,1,0.028,189.032,0,3
0.05,10,2,0.028,191.968,1,1
0.05,10,3,0.028,143.769,3,1
0.05,10,4,0.037,12.408,2,2
0.05,10,5,0.040,50.000,2,0
0.05,15,1,0.070,0.823,2,1
0.05,15,2,0.082,0.567,5,2
0.05,15,3,0.073,1.505,2,2
0.05,15,4,0.053,196.606,2,2
0.05,15,5,0.073,0.847,3,2
0.05,20,1,0.081,1.219,3,1
0.05,20,2,0.103,0.462,5,3
0.05,20,3,0.100,0.481,5,3
0.05,20,4,0.085,0.519,4,1
