noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.008,50.000,0,0
0.00,10,2,0.036,50.000,0,0
0.00,10,3,0.041,50.000,0,0
0.00,10,4,0.053,50.000,1,0
0.00,10,5,0.058,50.000,2,0
0.00,15,1,0.082,6.027,1,0
0.00,15,2,0.047,50.000,0,0
0.00,15,3,0.086,50.000,3,0
0.00,15,4,0.085,7.164,4,0
0.00,15,5,0.062,50.000,4,0
0.00,20,1,0.110,50.000,4,1
0.00,20,2,0.101,4.023,4,0
0.00,20,3,0.110,42.282,4,0
0.00,20,4,0.105,9.219,5,0
0.00,20,5,0.102,50.000,4,0
0.00,25,1,0.089,50.000,3,0
0.00,25,2,0.101,50.000,4,0
0.00,25,3,0.108,50.000,5,0
0.00,25,4,0.100,50.000,5,0
0.00,25,5,0.105,10.190,4,0
0.00,30,1,0.117,3.274,5,0
0.00,30,2,0.096,5.680,3,0
0.00,30,3,0.123,4.079,5,0
0.00,30,4,0.108,50.000,4,0
0.00,30,5,0.113,50.000,5,0
0.00,35,1,0.119,18.594,4,0
0.00,35,2,0.108,3.440,5,0
0.00,35,3,0.120,9.106,5,0
0.00,35,4,0.125,11.256,5,0
0.00,35,5,0.106,50.000,4,0
0.00,40,1,0.112,21.588,5,0
0.00,40,2,0.124,50.000,5,0
0.00,40,3,0.123,50.000,5,0
0.00,40,4,0.115,50.000,5,0
0.00,40,5,0.111,50.000,5,0
0.00,45,1,0.111,10.097,2,0
0.00,45,2,0.128,3.405,5,0
0.00,45,3,0.101,50.000,5,0
0.00,45,4,0.092,50.000,5,0
0.00,45,5,0.131,50.000,5,0
0.00,50,1,0.114,6.629,4,1
0.00,50,2,0.115,50.000,4,0
0.00,50,3,0.118,6.423,5,0
0.00,50,4,0.108,50.000,5,0
0.00,50,5,0.094,4.813,3,0
0.00,55,1,0.113,6.875,5,0
0.00,55,2,0.093,50.000,4,0
0.00,55,3,0.086,50.000,4,0
0.00,55,4,0.086,50.000,3,1
0.00,55,5,0.100,50.000,4,0
0.00,60,1,0.104,7.857,4,1
0.00,60,2,0.092,50.000,5,0
0.00,60,3,0.087,50.000,3,0
0.00,60,4,0.114,7.438,5,0
0.00,60,5,0.095,11.900,5,0
0.05,10,1,0.035,50.000,3,0
0.05,10,2,0.016,148.138,0,2
0.05,10,3,0.021,177.271,3,0
0.05,10,4,0.030,50.000,3,1
0.05,10,5,0.020,167.570,2,1
0.05,15,1,0.061,11.963,4,1
0.05,15,2,0.060,0.846,3,1
0.05,15,3,0.069,0.823,4,3
0.05,15,4,0.067,0.831,1,1
0.05,15,5,0.068,1.540,3,2
0.05,20,1,0.106,0.517,4,4
0.05,20,2,0.109,0.535,4,4
0.05,20,3,0.114,0.450,5,4
0.05,20,4,0.104,0.517,5,1
0.05,20,5,0.110,0.468,5,3
0.05,25,1,0.114,0.468,5,2
0.05,25,2,0.127,0.435,5,0
0.05,25,3,0.111,0.497,5,1
0.05,25,4,0.114,0.436,4,3
0.05,25,5,0.119,0.462,5,2
0.05,30,1,0.115,0.425,5,2
0.05,30,2,0.133,0.433,5,3
0.05,30,3,0.119,0.440,5,3
0.05,30,4,0.118,0.437,5,2
0.05,30,5,0.114,0.443,5,2
0.05,35,1,0.138,0.404,5,3
0.05,35,2,0.139,0.397,5,2
0.05,35,3,0.137,0.422,5,2
0.05,35,4,0.129,0.419,5,4
0.05,35,5,0.137,0.423,5,3
0.05,40,1,0.143,0.404,5,4
0.05,40,2,0.137,0.400,5,4
0.05,40,3,0.144,0.404,5,4
0.05,40,4,0.147,0.394,5,4
0.05,40,5,0.144,0.402,5,4
0.05,45,1,0.140,0.394,5,2
0.05,45,2,0.134,0.402,5,4
0.05,45,3,0.143,0.398,5,4
0.05,45,4,0.138,0.409,5,4
0.05,45,5,0.147,0.398,5,4
0.05,50,1,0.147,0.380,5,4
0.05,50,2,0.144,0.407,5,3
0.05,50,3,0.136,0.397,5,2
0.05,50,4,0.143,0.388,5,5
0.05,50,5,0.146,0.391,5,4
0.05,55,1,0.148,0.384,5,5
0.05,55,2,0.148,0.377,5,4
0.05,55,3,0.143,0.388,5,4
0.05,55,4,0.145,0.377,5,5
0.05,55,5,0.146,0.383,5,4
0.05,60,1,0.146,0.382,5,4
0.05,60,2,0.138,0.386,5,5
0.05,60,3,0.143,0.378,5,4
0.05,60,4,0.136,0.379,5,3
0.05,60,5,0.141,0.380,5,3
0.10,10,1,0.032,158.595,3,4
0.10,10,2,0.031,137.621,2,2
0.10,10,3,0.030,137.653,1,1
0.10,10,4,0.041,162.157,3,1
0.10,10,5,0.031,118.444,1,2
0.10,15,1,0.046,3.110,4,1
0.10,15,2,0.054,14.190,3,4
0.10,15,3,0.066,1.276,5,3
0.10,15,4,0.068,0.550,3,3
0.10,15,5,0.049,3.512,1,3
0.10,20,1,0.111,0.440,5,4
0.10,20,2,0.118,0.429,5,3
0.10,20,3,0.084,0.459,5,4
0.10,20,4,0.088,0.471,5,3
0.10,20,5,0.114,0.438,5,4
0.10,25,1,0.125,0.404,4,5
0.10,25,2,0.124,0.402,5,3
0.10,25,3,0.127,0.399,5,3
0.10,25,4,0.137,0.389,5,5
0.10,25,5,0.133,0.397,5,2
