noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.032,50.000,4,0
0.00,10,2,0.010,50.000,0,0
0.00,10,3,0.045,50.000,1,0
0.00,10,4,0.067,18.135,3,0
0.00,10,5,0.045,11.722,1,0
0.00,15,1,0.064,50.000,2,0
0.00,15,2,0.056,50.000,2,0
0.00,15,3,0.072,50.000,3,0
0.00,15,4,0.083,5.060,4,0
0.00,15,5,0.099,50.000,3,0
0.00,20,1,0.079,50.000,2,0
0.00,20,2,0.112,7.996,5,0
0.00,20,3,0.094,50.000,4,0
0.00,20,4,0.093,50.000,4,0
0.00,20,5,0.119,3.512,5,0
0.00,25,1,0.101,50.000,5,0
0.00,25,2,0.095,50.000,5,0
0.00,25,3,0.091,50.000,4,0
0.00,25,4,0.108,3.353,5,0
0.00,25,5,0.124,50.000,5,0
0.00,30,1,0.120,2.503,5,1
0.00,30,2,0.116,9.733,5,0
0.00,30,3,0.120,50.000,5,0
0.00,30,4,0.101,50.000,5,0
0.00,30,5,0.125,14.435,4,0
0.00,35,1,0.113,50.000,5,0
0.00,35,2,0.123,7.576,5,0
0.00,35,3,0.132,5.288,5,0
0.00,35,4,0.129,7.757,5,0
0.00,35,5,0.096,50.000,5,0
0.00,40,1,0.113,6.935,5,0
0.00,40,2,0.107,50.000,5,0
0.00,40,3,0.126,3.600,5,0
0.00,40,4,0.122,8.389,5,0
0.00,40,5,0.104,50.000,5,0
0.00,45,1,0.123,5.967,5,0
0.00,45,2,0.116,3.016,5,0
0.00,45,3,0.134,5.378,5,0
0.00,45,4,0.115,50.000,5,0
0.00,45,5,0.104,50.000,4,0
0.00,50,1,0.104,50.000,4,0
0.00,50,2,0.111,50.000,5,0
0.00,50,3,0.090,50.000,5,0
0.00,50,4,0.113,50.000,5,0
0.00,50,5,0.110,50.000,5,0
0.00,55,1,0.047,50.000,2,0
0.00,55,2,0.112,50.000,5,0
0.00,55,3,0.107,50.000,5,0
0.00,55,4,0.078,50.000,4,0
0.00,55,5,0.110,12.120,5,0
0.00,60,1,0.105,2.899,3,0
0.00,60,2,0.111,17.885,5,0
0.00,60,3,0.094,50.000,4,0
0.00,60,4,0.104,50.000,4,0
0.00,60,5,0.056,50.000,2,0
0.05,10,1,0.022,50.000,0,1
0.05,10,2,0.031,161.744,3,1
0.05,10,3,0.044,0.826,2,3
0.05,10,4,0.018,170.665,0,1
0.05,10,5,0.019,194.959,1,1
0.05,15,1,0.055,4.904,1,0
0.05,15,2,0.054,1.213,3,2
0.05,15,3,0.068,0.582,3,3
0.05,15,4,0.076,0.809,3,1
0.05,15,5,0.045,50.000,2,1
0.05,20,1,0.104,0.466,5,1
0.05,20,2,0.093,0.532,3,2
0.05,20,3,0.077,0.827,4,2
0.05,20,4,0.080,0.514,4,1
0.05,20,5,0.077,0.532,4,1
0.05,25,1,0.111,0.459,5,4
0.05,25,2,0.114,0.487,3,2
0.05,25,3,0.108,0.472,4,3
0.05,25,4,0.119,0.449,5,4
0.05,25,5,0.111,0.488,4,2
0.05,30,1,0.127,0.429,5,2
0.05,30,2,0.122,0.455,5,1
0.05,30,3,0.141,0.414,5,2
0.05,30,4,0.126,0.423,5,4
0.05,30,5,0.125,0.466,5,3
0.05,35,1,0.130,0.423,5,2
0.05,35,2,0.124,0.401,5,4
0.05,35,3,0.131,0.426,5,2
0.05,35,4,0.142,0.408,5,3
0.05,35,5,0.137,0.410,5,4
0.05,40,1,0.144,0.411,5,5
0.05,40,2,0.137,0.409,5,2
0.05,40,3,0.136,0.405,5,0
0.05,40,4,0.138,0.406,5,4
0.05,40,5,0.140,0.414,5,3
0.05,45,1,0.143,0.391,5,5
0.05,45,2,0.144,0.404,5,3
0.05,45,3,0.143,0.384,5,4
0.05,45,4,0.139,0.404,5,3
0.05,45,5,0.145,0.390,5,4
0.05,50,1,0.145,0.392,5,3
0.05,50,2,0.139,0.381,5,2
0.05,50,3,0.146,0.384,5,3
0.05,50,4,0.150,0.386,5,3
0.05,50,5,0.144,0.391,5,2
0.05,55,1,0.136,0.395,5,3
0.05,55,2,0.147,0.384,5,3
0.05,55,3,0.140,0.395,5,4
0.05,55,4,0.144,0.390,5,4
0.05,55,5,0.147,0.381,5,4
0.05,60,1,0.144,0.383,5,4
0.05,60,2,0.147,0.378,5,3
0.05,60,3,0.136,0.385,5,3
0.05,60,4,0.131,0.379,5,4
0.05,60,5,0.142,0.380,5,5
0.10,10,1,0.035,136.333,0,2
0.10,10,2,0.031,121.359,4,1
0.10,10,3,0.045,123.230,4,2
0.10,10,4,0.037,205.265,1,2
0.10,10,5,0.033,116.046,3,1
0.10,15,1,0.078,0.511,3,2
0.10,15,2,0.065,0.532,4,3
0.10,15,3,0.055,1.317,4,2
0.10,15,4,0.063,0.488,2,2
0.10,15,5,0.063,0.501,4,3
0.10,20,1,0.118,0.416,5,3
0.10,20,2,0.089,0.485,5,4
0.10,20,3,0.096,0.465,3,1
0.10,20,4,0.103,0.462,5,4
0.10,20,5,0.100,0.453,5,3
0.10,25,1,0.124,0.410,5,5
0.10,25,2,0.115,0.406,5,4
0.10,25,3,0.125,0.411,4,4
0.10,25,4,0.121,0.414,5,4
0.10,25,5,0.128,0.392,5,5
0.10,30,1,0.141,0.379,5,4
0.10,30,2,0.140,0.375,5,2
0.10,30,3,0.141,0.382,5,4
0.10,30,4,0.144,0.362,5,4
0.10,30,5,0.142,0.369,5,5
0.10,35,1,0.145,0.374,5,4
0.10,35,2,0.144,0.369,5,4
0.10,35,3,0.149,0.364,5,5
0.10,35,4,0.152,0.362,5,5
0.10,35,5,0.146,0.366,5,5
0.10,40,1,0.153,0.361,5,5
0.10,40,2,0.157,0.356,5,5
0.10,40,3,0.150,0.355,5,4
0.10,40,4,0.150,0.358,5,5
0.10,40,5,0.154,0.361,5,5
0.10,45,1,0.153,0.355,5,5
0.10,45,2,0.154,0.350,5,5
0.10,45,3,0.153,0.356,5,4
0.10,45,4,0.156,0.357,5,5
0.10,45,5,0.152,0.359,5,5
0.10,50,1,0.152,0.350,5,5
0.10,50,2,0.160,0.351,5,5
0.10,50,3,0.156,0.354,5,5
0.10,50,4,0.156,0.353,5,5
0.10,50,5,0.156,0.350,5,5
0.10,55,1,0.155,0.352,5,4
0.10,55,2,0.153,0.353,5,5
0.10,55,3,0.156,0.351,5,5
0.10,55,4,0.154,0.353,5,5
0.10,55,5,0.154,0.348,5,5
0.10,60,1,0.155,0.347,5,5
0.10,60,2,0.154,0.348,5,5
0.10,60,3,0.154,0.348,5,5
0.10,60,4,0.154,0.346,5,5
0.10,60,5,0.154,0.349,5,5
0.15,10,1,0.035,113.075,3,5
0.15,10,2,0.044,109.964,1,4
0.15,10,3,0.036,159.346,3,4
0.15,10,4,0.038,118.772,5,3
0.15,10,5,0.033,101.785,3,2
0.15,15,1,0.059,0.501,5,5
0.15,15,2,0.069,0.488,3,2
0.15,15,3,0.069,0.458,4,3
0.15,15,4,0.059,0.476,5,3
0.15,15,5,0.064,0.493,4,2
0.15,20,1,0.104,0.401,5,4
0.15,20,2,0.097,0.435,5,3
0.15,20,3,0.114,0.408,5,5
0.15,20,4,0.116,0.396,5,3
0.15,20,5,0.111,0.386,5,4
0.15,25,1,0.144,0.359,5,5
0.15,25,2,0.141,0.365,5,4
0.15,25,3,0.136,0.372,5,5
0.15,25,4,0.135,0.367,5,5
0.15,25,5,0.143,0.358,5,5
0.15,30,1,0.144,0.354,5,5
0.15,30,2,0.150,0.352,5,5
0.15,30,3,0.148,0.346,5,4
0.15,30,4,0.150,0.355,5,5
0.15,30,5,0.146,0.359,5,5
0.15,35,1,0.152,0.352,5,4
0.15,35,2,0.157,0.345,5,5
0.15,35,3,0.158,0.345,5,5
0.15,35,4,0.151,0.346,5,4
0.15,35,5,0.154,0.351,5,5
0.15,40,1,0.157,0.343,5,5
0.15,40,2,0.161,0.343,5,5
0.15,40,3,0.155,0.345,5,4
0.15,40,4,0.156,0.343,5,5
0.15,40,5,0.155,0.346,5,5
0.15,45,1,0.157,0.342,5,5
0.15,45,2,0.155,0.341,5,4
0.15,45,3,0.155,0.339,5,5
0.15,45,4,0.159,0.339,5,5
