noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.011,50.000,0,0
0.00,10,2,0.031,50.000,0,0
0.00,10,3,0.047,50.000,3,0
0.00,10,4,0.025,50.000,1,0
0.00,10,5,0.019,50.000,0,0
0.00,15,1,0.085,50.000,2,1
0.00,15,2,0.074,50.000,3,0
0.00,15,3,0.042,50.000,0,0
0.00,15,4,0.105,50.000,4,0
0.00,15,5,0.080,50.000,1,0
0.00,20,1,0.083,50.000,3,0
0.00,20,2,0.086,50.000,2,0
0.00,20,3,0.125,2.138,5,0
0.00,20,4,0.098,50.000,4,0
0.00,20,5,0.099,50.000,5,0
0.00,25,1,0.109,11.159,5,0
0.00,25,2,0.109,50.000,5,0
0.00,25,3,0.086,50.000,3,0
0.00,25,4,0.111,50.000,4,0
0.00,25,5,0.106,50.000,5,0
0.00,30,1,0.122,5.338,5,0
0.00,30,2,0.118,50.000,5,0
0.00,30,3,0.114,7.020,5,0
0.00,30,4,0.115,50.000,4,0
0.00,30,5,0.120,24.127,5,0
0.00,35,1,0.114,50.000,5,0
0.00,35,2,0.122,2.924,4,0
0.00,35,3,0.117,50.000,4,0
0.00,35,4,0.105,4.823,5,0
0.00,35,5,0.094,50.000,4,0
0.00,40,1,0.109,50.000,5,0
0.00,40,2,0.108,4.430,5,0
0.00,40,3,0.128,3.152,4,0
0.00,40,4,0.115,11.524,4,0
0.00,40,5,0.113,50.000,5,0
0.00,45,1,0.097,50.000,5,0
0.00,45,2,0.126,3.888,5,1
0.00,45,3,0.126,50.000,5,0
0.00,45,4,0.133,3.042,5,0
0.00,45,5,0.125,3.641,5,1
0.00,50,1,0.115,4.759,4,0
0.00,50,2,0.105,50.000,4,0
0.00,50,3,0.107,50.000,5,0
0.00,50,4,0.108,50.000,5,0
0.00,50,5,0.122,50.000,5,0
0.00,55,1,0.091,50.000,4,1
0.00,55,2,0.093,6.222,4,0
0.00,55,3,0.096,50.000,4,0
0.00,55,4,0.094,50.000,5,0
0.00,55,5,0.113,4.149,4,0
0.00,60,1,0.089,50.000,4,1
0.00,60,2,0.084,5.278,3,0
0.00,60,3,0.065,50.000,3,1
0.00,60,4,0.056,50.000,2,0
0.00,60,5,0.057,50.000,2,0
0.05,10,1,0.028,50.000,2,0
0.05,10,2,0.027,171.923,1,0
0.05,10,3,0.039,50.000,0,2
0.05,10,4,0.030,185.647,1,1
0.05,10,5,0.021,144.278,1,2
0.05,15,1,0.071,0.821,3,1
0.05,15,2,0.054,151.370,4,0
0.05,15,3,0.065,0.572,5,0
0.05,15,4,0.058,1.550,3,2
0.05,15,5,0.067,4.364,5,0
0.05,20,1,0.084,0.519,4,2
0.05,20,2,0.101,0.487,3,3
0.05,20,3,0.085,0.582,4,1
0.05,20,4,0.098,0.454,5,1
0.05,20,5,0.097,0.546,4,3
0.05,25,1,0.107,0.493,4,3
0.05,25,2,0.120,0.451,5,1
0.05,25,3,0.119,0.476,5,5
0.05,25,4,0.109,0.479,5,1
0.05,25,5,0.125,0.453,5,1
0.05,30,1,0.130,0.422,5,1
0.05,30,2,0.134,0.440,5,1
0.05,30,3,0.125,0.443,5,3
0.05,30,4,0.125,0.439,5,4
0.05,30,5,0.125,0.431,5,2
0.05,35,1,0.134,0.430,5,4
0.05,35,2,0.139,0.416,5,2
0.05,35,3,0.135,0.414,5,4
0.05,35,4,0.137,0.421,5,3
0.05,35,5,0.134,0.421,5,3
0.05,40,1,0.145,0.394,5,4
0.05,40,2,0.146,0.404,5,5
0.05,40,3,0.144,0.402,5,3
0.05,40,4,0.137,0.413,5,2
0.05,40,5,0.142,0.402,5,4
0.05,45,1,0.147,0.402,5,3
0.05,45,2,0.141,0.407,5,3
0.05,45,3,0.146,0.396,5,4
0.05,45,4,0.148,0.393,5,4
0.05,45,5,0.151,0.389,5,5
0.05,50,1,0.146,0.391,5,4
0.05,50,2,0.136,0.391,5,4
0.05,50,3,0.141,0.391,5,4
0.05,50,4,0.146,0.395,5,4
0.05,50,5,0.149,0.380,5,4
