noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.035,50.000,0,0
0.00,10,2,0.048,50.000,1,0
0.00,10,3,0.020,50.000,1,0
0.00,10,4,0.027,50.000,1,0
0.00,10,5,0.055,50.000,3,0
0.00,15,1,0.065,50.000,3,0
0.00,15,2,0.049,50.000,0,0
0.00,15,3,0.079,50.000,5,0
0.00,15,4,0.065,50.000,3,0
0.00,15,5,0.072,50.000,2,0
0.00,20,1,0.108,7.423,5,0
0.00,20,2,0.085,50.000,4,0
0.00,20,3,0.088,50.000,2,0
0.00,20,4,0.107,5.583,2,0
0.00,20,5,0.098,50.000,5,0
0.00,25,1,0.129,50.000,4,1
0.00,25,2,0.119,4.234,5,1
0.00,25,3,0.097,50.000,5,0
0.00,25,4,0.100,50.000,4,0
0.00,25,5,0.124,3.105,3,0
0.00,30,1,0.118,50.000,5,1
0.00,30,2,0.111,3.040,5,0
0.00,30,3,0.115,5.520,5,0
0.00,30,4,0.128,50.000,5,0
0.00,30,5,0.103,15.872,5,0
0.00,35,1,0.119,50.000,5,1
0.00,35,2,0.111,50.000,5,0
0.00,35,3,0.111,3.777,5,1
0.00,35,4,0.111,50.000,5,0
0.00,35,5,0.120,50.000,5,0
0.00,40,1,0.126,50.000,5,1
0.00,40,2,0.130,50.000,5,0
0.00,40,3,0.115,50.000,5,0
0.00,40,4,0.115,50.000,4,0
0.00,40,5,0.111,4.646,5,0
0.00,45,1,0.095,50.000,5,1
0.00,45,2,0.105,8.149,5,0
0.00,45,3,0.114,14.992,5,1
0.00,45,4,0.114,50.000,4,0
0.00,45,5,0.117,50.000,4,0
0.00,50,1,0.124,22.667,5,0
0.00,50,2,0.109,5.082,5,0
0.00,50,3,0.121,7.031,5,0
0.00,50,4,0.115,50.000,5,0
0.00,50,5,0.107,50.000,5,0
0.00,55,1,0.118,6.656,4,1
0.00,55,2,0.114,4.698,4,0
0.00,55,3,0.098,50.000,5,0
0.00,55,4,0.096,11.421,5,0
0.00,55,5,0.100,50.000,3,0
0.00,60,1,0.080,50.000,4,0
0.00,60,2,0.084,50.000,5,0
0.00,60,3,0.095,50.000,4,0
0.00,60,4,0.094,50.000,4,0
0.00,60,5,0.104,12.776,4,0
0.05,10,1,0.031,50.000,1,1
0.05,10,2,0.029,210.511,3,2
0.05,10,3,0.062,1.108,4,0
0.05,10,4,0.020,197.575,2,1
0.05,10,5,0.022,139.697,1,1
0.05,15,1,0.068,0.920,1,3
0.05,15,2,0.062,50.000,4,0
