noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.015,50.000,1,0
0.00,10,2,0.058,50.000,2,0
0.00,10,3,0.034,50.000,0,0
0.00,10,4,0.016,50.000,0,0
0.00,10,5,0.026,50.000,0,0
0.00,15,1,0.098,7.885,2,1
0.00,15,2,0.054,50.000,1,0
0.00,15,3,0.095,50.000,4,0
0.00,15,4,0.057,50.000,3,0
0.00,15,5,0.087,8.619,2,0
0.00,20,1,0.092,50.000,4,0
0.00,20,2,0.077,50.000,3,0
0.00,20,3,0.116,4.465,5,0
0.00,20,4,0.107,4.183,5,0
0.00,20,5,0.080,2.906,5,0
0.00,25,1,0.097,22.000,5,0
0.00,25,2,0.111,11.156,5,0
0.00,25,3,0.116,2.491,5,0
0.00,25,4,0.089,50.000,5,0
0.00,25,5,0.104,50.000,5,0
0.00,30,1,0.115,5.585,5,0
0.00,30,2,0.126,6.241,4,0
0.00,30,3,0.105,50.000,5,0
0.00,30,4,0.127,50.000,5,0
0.00,30,5,0.105,50.000,5,0
0.00,35,1,0.104,50.000,4,0
0.00,35,2,0.124,3.817,5,0
0.00,35,3,0.118,50.000,4,0
0.00,35,4,0.111,50.000,5,0
0.00,35,5,0.116,3.617,5,0
0.00,40,1,0.125,2.872,4,2
0.00,40,2,0.122,30.158,5,0
0.00,40,3,0.111,50.000,5,0
0.00,40,4,0.122,5.002,5,0
0.00,40,5,0.123,9.654,5,0
0.00,45,1,0.105,6.138,3,1
0.00,45,2,0.109,14.663,5,0
0.00,45,3,0.097,50.000,5,2
0.00,45,4,0.121,50.000,5,0
0.00,45,5,0.127,50.000,5,0
0.00,50,1,0.125,3.645,5,0
0.00,50,2,0.110,6.312,5,0
0.00,50,3,0.102,50.000,4,0
0.00,50,4,0.117,6.591,5,0
0.00,50,5,0.097,50.000,4,0
0.00,55,1,0.104,5.935,3,0
0.00,55,2,0.114,2.818,4,0
0.00,55,3,0.107,9.778,5,0
0.00,55,4,0.098,50.000,5,0
0.00,55,5,0.105,50.000,4,0
0.00,60,1,0.099,5.705,5,0
0.00,60,2,0.088,8.512,4,0
0.00,60,3,0.099,5.615,4,0
0.00,60,4,0.089,5.142,2,0
0.00,60,5,0.108,4.325,5,0
0.05,10,1,0.032,249.207,1,2
0.05,10,2,0.024,145.239,2,1
0.05,10,3,0.047,0.827,2,0
0.05,10,4,0.034,203.438,2,0
0.05,10,5,0.033,2.385,3,1
0.05,15,1,0.071,10.213,4,3
0.05,15,2,0.048,2.105,3,1
0.05,15,3,0.045,64.651,1,3
0.05,15,4,0.063,0.854,5,5
0.05,15,5,0.079,0.840,4,1
0.05,20,1,0.083,0.546,4,1
0.05,20,2,0.110,0.463,4,2
0.05,20,3,0.096,0.539,4,2
0.05,20,4,0.099,0.514,5,1
0.05,20,5,0.112,0.448,4,2
0.05,25,1,0.118,0.469,5,3
0.05,25,2,0.127,0.433,5,3
0.05,25,3,0.104,0.490,5,0
0.05,25,4,0.120,0.450,4,5
0.05,25,5,0.118,0.469,5,4
0.05,30,1,0.132,0.422,5,3
0.05,30,2,0.112,0.466,5,2
0.05,30,3,0.136,0.425,5,2
0.05,30,4,0.129,0.422,5,3
0.05,30,5,0.126,0.451,5,3
0.05,35,1,0.136,0.418,5,4
0.05,35,2,0.140,0.422,5,1
0.05,35,3,0.141,0.411,5,2
0.05,35,4,0.135,0.421,5,3
0.05,35,5,0.135,0.409,5,4
0.05,40,1,0.141,0.401,5,3
0.05,40,2,0.142,0.403,5,4
0.05,40,3,0.137,0.408,5,4
0.05,40,4,0.146,0.400,5,1
0.05,40,5,0.138,0.395,5,4
0.05,45,1,0.144,0.399,5,5
0.05,45,2,0.146,0.398,5,4
0.05,45,3,0.140,0.393,5,2
0.05,45,4,0.138,0.410,5,4
0.05,45,5,0.141,0.416,5,4
0.05,50,1,0.147,0.386,5,4
0.05,50,2,0.148,0.384,5,4
0.05,50,3,0.149,0.392,5,5
0.05,50,4,0.149,0.389,5,2
0.05,50,5,0.139,0.393,5,5
0.05,55,1,0.144,0.389,5,4
0.05,55,2,0.149,0.381,5,5
0.05,55,3,0.149,0.382,5,4
0.05,55,4,0.143,0.393,5,5
0.05,55,5,0.147,0.382,5,3
0.05,60,1,0.146,0.386,5,4
0.05,60,2,0.143,0.380,5,5
0.05,60,3,0.145,0.384,5,4
0.05,60,4,0.144,0.376,5,4
