noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.017,50.000,2,0
0.00,10,2,0.034,50.000,1,0
0.00,10,3,0.044,50.000,2,0
0.00,10,4,0.016,50.000,0,0
0.00,10,5,0.010,50.000,0,0
0.00,15,1,0.072,16.371,3,0
0.00,15,2,0.029,50.000,1,0
0.00,15,3,0.082,50.000,3,0
0.00,15,4,0.079,50.000,3,0
0.00,15,5,0.086,50.000,0,0
0.00,20,1,0.100,50.000,5,1
0.00,20,2,0.096,50.000,4,0
0.00,20,3,0.111,50.000,5,0
0.00,20,4,0.102,50.000,4,0
0.00,20,5,0.082,50.000,4,0
0.00,25,1,0.113,9.043,4,0
0.00,25,2,0.106,4.496,5,0
0.00,25,3,0.119,4.610,5,0
0.00,25,4,0.125,50.000,5,0
0.00,25,5,0.089,50.000,5,0
0.00,30,1,0.112,50.000,5,0
0.00,30,2,0.104,14.059,4,0
0.00,30,3,0.097,50.000,5,0
0.00,30,4,0.120,50.000,5,0
0.00,30,5,0.122,50.000,5,0
0.00,35,1,0.121,2.494,5,2
0.00,35,2,0.120,13.082,5,0
0.00,35,3,0.133,3.898,5,0
0.00,35,4,0.125,50.000,4,0
0.00,35,5,0.110,15.141,5,1
0.00,40,1,0.109,50.000,5,0
0.00,40,2,0.129,3.846,5,0
0.00,40,3,0.128,2.992,4,0
0.00,40,4,0.119,3.157,5,0
0.00,40,5,0.122,50.000,4,0
0.00,45,1,0.126,8.483,5,0
0.00,45,2,0.117,50.000,5,0
0.00,45,3,0.108,50.000,4,0
0.00,45,4,0.113,50.000,5,0
0.00,45,5,0.106,5.395,5,0
0.00,50,1,0.110,8.041,5,1
0.00,50,2,0.118,50.000,5,0
0.00,50,3,0.119,13.944,3,0
0.00,50,4,0.099,50.000,5,0
0.00,50,5,0.097,4.729,5,0
0.00,55,1,0.100,50.000,4,0
0.00,55,2,0.112,3.531,5,0
0.00,55,3,0.102,4.274,5,0
0.00,55,4,0.101,50.000,4,0
0.00,55,5,0.095,50.000,3,0
0.00,60,1,0.073,50.000,4,0
0.00,60,2,0.058,50.000,5,0
0.00,60,3,0.099,8.534,3,0
0.00,60,4,0.083,20.484,3,0
0.00,60,5,0.100,50.000,4,0
0.05,10,1,0.043,50.000,2,1
0.05,10,2,0.020,164.376,3,0
0.05,10,3,0.022,123.613,0,0
0.05,10,4,0.033,135.370,1,2
0.05,10,5,0.020,136.575,2,1
0.05,15,1,0.054,2.033,2,2
0.05,15,2,0.082,0.838,5,3
0.05,15,3,0.075,0.798,5,0
0.05,15,4,0.075,0.535,5,1
0.05,15,5,0.065,0.811,3,3
0.05,20,1,0.115,0.462,5,1
0.05,20,2,0.085,0.499,5,1
0.05,20,3,0.114,0.476,5,1
0.05,20,4,0.081,0.519,5,3
0.05,20,5,0.096,0.495,5,1
0.05,25,1,0.123,0.444,5,2
0.05,25,2,0.128,0.449,5,5
0.05,25,3,0.125,0.440,5,3
0.05,25,4,0.124,0.451,5,4
0.05,25,5,0.123,0.453,5,2
0.05,30,1,0.128,0.444,5,5
0.05,30,2,0.135,0.423,5,0
0.05,30,3,0.128,0.448,5,3
0.05,30,4,0.130,0.419,5,3
0.05,30,5,0.128,0.423,5,2
0.05,35,1,0.130,0.423,5,4
0.05,35,2,0.142,0.396,5,4
0.05,35,3,0.131,0.433,5,3
0.05,35,4,0.131,0.436,5,1
0.05,35,5,0.128,0.431,5,2
0.05,40,1,0.131,0.407,5,4
0.05,40,2,0.136,0.406,5,3
0.05,40,3,0.144,0.401,5,3
0.05,40,4,0.147,0.404,5,5
0.05,40,5,0.141,0.402,5,4
0.05,45,1,0.146,0.399,5,4
0.05,45,2,0.141,0.397,5,4
0.05,45,3,0.147,0.388,5,5
0.05,45,4,0.142,0.399,5,5
0.05,45,5,0.142,0.390,5,2
0.05,50,1,0.144,0.385,5,3
0.05,50,2,0.148,0.399,5,5
0.05,50,3,0.131,0.414,5,3
0.05,50,4,0.147,0.395,5,4
0.05,50,5,0.145,0.397,5,4
0.05,55,1,0.142,0.397,5,5
0.05,55,2,0.141,0.395,5,4
0.05,55,3,0.146,0.384,5,2
0.05,55,4,0.141,0.394,5,5
0.05,55,5,0.144,0.389,5,5
0.05,60,1,0.149,0.376,5,5
0.05,60,2,0.139,0.380,5,2
0.05,60,3,0.144,0.385,5,4
0.05,60,4,0.142,0.382,5,5
0.05,60,5,0.139,0.382,5,4
0.10,10,1,0.029,129.658,1,3
0.10,10,2,0.035,112.126,3,3
0.10,10,3,0.031,123.591,2,3
0.10,10,4,0.033,133.179,1,3
0.10,10,5,0.038,100.768,1,2
0.10,15,1,0.051,1.754,2,3
0.10,15,2,0.069,0.514,3,1
0.10,15,3,0.047,85.632,3,2
0.10,15,4,0.070,0.517,5,2
0.10,15,5,0.078,0.509,5,4
0.10,20,1,0.087,0.497,4,2
0.10,20,2,0.100,0.428,3,2
0.10,20,3,0.101,0.455,4,2
0.10,20,4,0.100,0.412,5,3
0.10,20,5,0.094,0.462,5,4
0.10,25,1,0.125,0.404,4,4
0.10,25,2,0.131,0.391,5,5
0.10,25,3,0.134,0.394,4,5
0.10,25,4,0.124,0.402,5,5
0.10,25,5,0.130,0.388,5,5
0.10,30,1,0.138,0.376,5,5
0.10,30,2,0.144,0.374,5,4
0.10,30,3,0.139,0.376,5,4
0.10,30,4,0.147,0.364,5,3
0.10,30,5,0.136,0.374,5,3
0.10,35,1,0.150,0.359,5,4
0.10,35,2,0.153,0.363,5,5
0.10,35,3,0.144,0.368,5,3
0.10,35,4,0.149,0.359,5,4
0.10,35,5,0.148,0.360,5,3
0.10,40,1,0.148,0.363,5,4
0.10,40,2,0.150,0.358,5,4
0.10,40,3,0.162,0.357,5,5
0.10,40,4,0.156,0.364,5,5
0.10,40,5,0.152,0.357,5,4
0.10,45,1,0.156,0.352,5,5
0.10,45,2,0.151,0.361,5,5
0.10,45,3,0.153,0.354,5,4
0.10,45,4,0.156,0.353,5,5
0.10,45,5,0.153,0.358,5,5
0.10,50,1,0.156,0.356,5,5
0.10,50,2,0.154,0.352,5,4
0.10,50,3,0.154,0.351,5,4
0.10,50,4,0.156,0.352,5,5
0.10,50,5,0.154,0.354,5,4
0.10,55,1,0.152,0.351,5,5
0.10,55,2,0.155,0.349,5,4
0.10,55,3,0.155,0.348,5,5
0.10,55,4,0.154,0.348,5,4
0.10,55,5,0.154,0.350,5,4
0.10,60,1,0.157,0.348,5,5
0.10,60,2,0.154,0.348,5,5
0.10,60,3,0.155,0.348,5,5
0.10,60,4,0.152,0.350,5,5
0.10,60,5,0.155,0.350,5,5
0.15,10,1,0.033,91.448,3,2
0.15,10,2,0.033,113.089,3,2
0.15,10,3,0.037,125.998,3,4
0.15,10,4,0.038,113.884,3,1
0.15,10,5,0.035,104.060,2,2
0.15,15,1,0.069,0.468,5,4
0.15,15,2,0.060,0.497,5,4
0.15,15,3,0.062,0.499,3,5
0.15,15,4,0.064,0.465,4,3
0.15,15,5,0.065,0.511,3,2
0.15,20,1,0.106,0.424,4,5
0.15,20,2,0.102,0.423,4,5
0.15,20,3,0.098,0.418,4,5
0.15,20,4,0.114,0.410,4,5
0.15,20,5,0.108,0.414,5,4
0.15,25,1,0.131,0.367,5,5
0.15,25,2,0.148,0.360,5,5
0.15,25,3,0.128,0.373,5,5
0.15,25,4,0.134,0.362,5,4
0.15,25,5,0.133,0.377,5,4
0.15,30,1,0.148,0.349,5,4
0.15,30,2,0.146,0.353,5,4
0.15,30,3,0.147,0.350,5,5
0.15,30,4,0.152,0.351,5,5
0.15,30,5,0.149,0.353,5,5
0.15,35,1,0.154,0.347,5,5
0.15,35,2,0.159,0.346,5,5
0.15,35,3,0.151,0.345,5,5
0.15,35,4,0.153,0.347,5,5
0.15,35,5,0.155,0.346,5,5
0.15,40,1,0.156,0.342,5,5
0.15,40,2,0.159,0.345,5,5
0.15,40,3,0.153,0.342,5,5
0.15,40,4,0.158,0.345,5,5
0.15,40,5,0.155,0.344,5,5
0.15,45,1,0.160,0.340,5,5
0.15,45,2,0.156,0.341,5,5
0.15,45,3,0.157,0.339,5,5
0.15,45,4,0.156,0.340,5,5
0.15,45,5,0.156,0.340,5,5
0.15,50,1,0.158,0.339,5,5
0.15,50,2,0.164,0.339,5,5
0.15,50,3,0.160,0.338,5,5
0.15,50,4,0.160,0.339,5,5
0.15,50,5,0.161,0.339,5,5
0.15,55,1,0.160,0.337,5,5
0.15,55,2,0.157,0.339,5,5
0.15,55,3,0.162,0.337,5,5
0.15,55,4,0.159,0.339,5,5
0.15,55,5,0.165,0.339,5,5
0.15,60,1,0.162,0.335,5,5
0.15,60,2,0.157,0.338,5,5
0.15,60,3,0.161,0.337,5,5
0.15,60,4,0.159,0.338,5,5
0.15,60,5,0.158,0.337,5,5
0.20,10,1,0.044,3.925,3,4
0.20,10,2,0.038,2.380,4,2
0.20,10,3,0.041,2.689,3,4
0.20,10,4,0.039,0.506,4,4
0.20,10,5,0.041,1.810,2,3
0.20,15,1,0.066,0.468,3,4
0.20,15,2,0.070,0.448,5,3
0.20,15,3,0.076,0.455,4,5
0.20,15,4,0.068,0.455,5,5
0.20,15,5,0.063,0.472,5,4
0.20,20,1,0.120,0.400,5,4
0.20,20,2,0.117,0.396,5,5
0.20,20,3,0.103,0.406,5,5
0.20,20,4,0.118,0.389,5,5
0.20,20,5,0.112,0.400,5,5
0.20,25,1,0.138,0.353,5,5
0.20,25,2,0.132,0.357,4,5
0.20,25,3,0.135,0.355,5,4
0.20,25,4,0.136,0.357,5,4
0.20,25,5,0.137,0.351,4,4
0.20,30,1,0.151,0.347,5,5
0.20,30,2,0.154,0.341,5,5
0.20,30,3,0.154,0.344,5,5
0.20,30,4,0.153,0.341,5,5
0.20,30,5,0.151,0.343,5,5
0.20,35,1,0.157,0.335,5,5
0.20,35,2,0.156,0.339,5,5
0.20,35,3,0.154,0.342,5,5
0.20,35,4,0.158,0.338,5,5
0.20,35,5,0.155,0.337,5,5
0.20,40,1,0.157,0.335,5,5
0.20,40,2,0.156,0.335,5,5
0.20,40,3,0.157,0.335,5,5
0.20,40,4,0.161,0.336,5,5
0.20,40,5,0.158,0.335,5,5
0.20,45,1,0.158,0.334,5,5
0.20,45,2,0.160,0.334,5,5
0.20,45,3,0.162,0.335,5,5
0.20,45,4,0.159,0.332,5,5
0.20,45,5,0.170,0.334,5,5
0.20,50,1,0.162,0.333,5,5
0.20,50,2,0.161,0.334,5,5
0.20,50,3,0.159,0.335,5,5
0.20,50,4,0.162,0.333,5,5
0.20,50,5,0.160,0.333,5,5
0.20,55,1,0.162,0.331,5,5
0.20,55,2,0.167,0.331,5,5
0.20,55,3,0.159,0.332,5,5
0.20,55,4,0.167,0.334,5,5
0.20,55,5,0.162,0.333,5,5
0.20,60,1,0.166,0.331,5,5
0.20,60,2,0.160,0.332,5,5
0.20,60,3,0.165,0.331,5,5
0.20,60,4,0.163,0.330,5,5
0.20,60,5,0.162,0.329,5,5
0.25,10,1,0.049,0.514,4,3
0.25,10,2,0.046,0.501,4,3
0.25,10,3,0.049,0.506,4,3
0.25,10,4,0.044,0.488,5,2
0.25,10,5,0.047,0.509,2,3
0.25,15,1,0.081,0.430,3,2
0.25,15,2,0.073,0.451,5,4
0.25,15,3,0.082,0.435,5,3
0.25,15,4,0.072,0.430,4,5
0.25,15,5,0.081,0.440,5,4
0.25,20,1,0.122,0.361,5,4
0.25,20,2,0.118,0.374,5,5
0.25,20,3,0.114,0.382,5,5
0.25,20,4,0.121,0.372,5,5
0.25,20,5,0.118,0.371,5,5
0.25,25,1,0.144,0.347,5,5
0.25,25,2,0.147,0.340,5,5
0.25,25,3,0.147,0.340,5,4
