noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.013,50.000,0,0
0.00,10,2,0.010,50.000,0,0
0.00,10,3,0.035,50.000,1,0
0.00,10,4,0.023,50.000,0,0
0.00,10,5,0.046,50.000,2,0
0.00,15,1,0.070,50.000,2,0
0.00,15,2,0.083,5.143,1,0
0.00,15,3,0.076,50.000,4,0
0.00,15,4,0.078,50.000,2,0
0.00,15,5,0.067,50.000,3,0
0.00,20,1,0.111,25.244,4,0
0.00,20,2,0.105,50.000,5,0
0.00,20,3,0.086,50.000,4,0
0.00,20,4,0.119,7.375,4,0
0.00,20,5,0.099,50.000,4,0
0.00,25,1,0.116,7.560,5,0
0.00,25,2,0.118,50.000,4,0
0.00,25,3,0.108,5.930,5,0
0.00,25,4,0.120,14.822,4,0
0.00,25,5,0.104,50.000,3,0
0.00,30,1,0.115,7.034,5,0
0.00,30,2,0.107,10.940,4,0
0.00,30,3,0.107,10.929,4,0
0.00,30,4,0.130,7.099,4,0
0.00,30,5,0.114,50.000,5,0
0.00,35,1,0.117,7.966,5,1
0.00,35,2,0.118,50.000,5,0
0.00,35,3,0.114,6.123,5,0
0.00,35,4,0.122,10.862,5,0
0.00,35,5,0.126,6.917,5,0
0.00,40,1,0.115,10.078,4,0
0.00,40,2,0.119,50.000,5,0
0.00,40,3,0.106,50.000,4,0
0.00,40,4,0.122,12.356,5,0
0.00,40,5,0.116,5.557,5,0
0.00,45,1,0.126,3.747,5,0
0.00,45,2,0.127,3.986,5,0
0.00,45,3,0.109,50.000,4,0
0.00,45,4,0.111,50.000,5,0
0.00,45,5,0.124,8.756,5,0
0.00,50,1,0.118,50.000,5,1
0.00,50,2,0.109,7.370,2,0
0.00,50,3,0.099,6.848,3,0
0.00,50,4,0.120,50.000,5,0
0.00,50,5,0.093,50.000,5,0
0.00,55,1,0.108,50.000,4,0
0.00,55,2,0.097,50.000,5,0
0.00,55,3,0.099,50.000,2,0
