noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.065,50.000,3,0
0.00,10,2,0.013,50.000,0,0
0.00,10,3,0.068,50.000,5,0
0.00,10,4,0.041,50.000,3,0
0.00,10,5,0.054,50.000,4,0
0.00,15,1,0.073,50.000,2,0
0.00,15,2,0.090,5.219,1,0
0.00,15,3,0.089,6.313,1,0
0.00,15,4,0.032,50.000,2,0
0.00,15,5,0.086,9.348,4,0
0.00,20,1,0.093,16.488,3,0
0.00,20,2,0.116,50.000,5,0
0.00,20,3,0.091,50.000,3,0
0.00,20,4,0.105,5.657,5,0
0.00,20,5,0.100,50.000,4,0
0.00,25,1,0.109,50.000,5,0
0.00,25,2,0.106,33.836,5,0
0.00,25,3,0.081,50.000,5,0
0.00,25,4,0.125,50.000,5,0
0.00,25,5,0.122,2.844,5,0
0.00,30,1,0.106,50.000,5,0
0.00,30,2,0.125,4.118,3,0
0.00,30,3,0.123,50.000,4,0
0.00,30,4,0.100,50.000,5,0
0.00,30,5,0.112,12.579,5,0
0.00,35,1,0.104,50.000,4,0
0.00,35,2,0.117,50.000,5,0
0.00,35,3,0.115,50.000,5,0
0.00,35,4,0.118,50.000,5,0
0.00,35,5,0.120,50.000,5,0
0.00,40,1,0.107,50.000,4,0
0.00,40,2,0.122,50.000,5,0
0.00,40,3,0.124,9.357,5,0
0.00,40,4,0.117,5.198,5,0
0.00,40,5,0.108,50.000,5,0
0.00,45,1,0.126,7.425,5,2
0.00,45,2,0.097,6.086,5,0
0.00,45,3,0.104,50.000,5,1
0.00,45,4,0.118,50.000,5,0
0.00,45,5,0.118,17.620,5,0
0.00,50,1,0.102,50.000,4,0
0.00,50,2,0.122,5.801,5,0
0.00,50,3,0.124,50.000,5,0
0.00,50,4,0.102,50.000,3,0
0.00,50,5,0.104,28.074,5,0
0.00,55,1,0.110,5.951,5,0
0.00,55,2,0.119,3.650,5,0
0.00,55,3,0.103,6.080,5,0
0.00,55,4,0.098,50.000,5,0
0.00,55,5,0.109,50.000,4,0
0.00,60,1,0.068,6.298,3,0
0.00,60,2,0.088,50.000,5,0
0.00,60,3,0.075,4.207,4,0
0.00,60,4,0.080,50.000,4,0
0.00,60,5,0.074,50.000,4,0
0.05,10,1,0.032,50.000,2,0
0.05,10,2,0.017,189.546,2,2
0.05,10,3,0.029,135.105,1,0
0.05,10,4,0.035,176.990,1,1
0.05,10,5,0.043,50.000,4,3
0.05,15,1,0.061,2.516,4,0
0.05,15,2,0.056,3.034,2,1
0.05,15,3,0.061,25.554,4,2
0.05,15,4,0.084,0.821,3,4
0.05,15,5,0.051,137.877,2,2
0.05,20,1,0.097,0.511,4,3
0.05,20,2,0.087,0.813,4,2
0.05,20,3,0.091,0.525,5,2
0.05,20,4,0.095,0.487,5,2
0.05,20,5,0.100,0.535,4,4
0.05,25,1,0.119,0.479,5,1
0.05,25,2,0.120,0.462,5,2
0.05,25,3,0.126,0.458,4,2
0.05,25,4,0.112,0.485,5,1
0.05,25,5,0.116,0.517,4,1
0.05,30,1,0.132,0.418,5,2
0.05,30,2,0.134,0.431,5,2
0.05,30,3,0.131,0.438,5,4
0.05,30,4,0.133,0.436,5,4
0.05,30,5,0.138,0.437,5,3
0.05,35,1,0.135,0.418,5,4
0.05,35,2,0.147,0.413,5,5
0.05,35,3,0.134,0.450,5,2
0.05,35,4,0.136,0.401,5,2
0.05,35,5,0.140,0.409,5,2
0.05,40,1,0.139,0.400,5,2
0.05,40,2,0.128,0.422,5,3
0.05,40,3,0.138,0.412,5,3
0.05,40,4,0.135,0.395,5,4
